Chromosome	Position	Coverage	# methylated	% methylated
1	180179	18	0	0
1	733760	13	0	0
1	1291176	35	35	100
1	1712072	41	5	12.1
1	2029698	10	3	30
1	2108466	50	0	0
1	2205003	26	0	0
1	2206311	39	22	56.4
1	3049172	30	1	3.3
1	5035995	21	18	85.7
1	5239521	14	11	78.5
1	5244742	23	0	0
1	5304925	27	22	81.4
1	6537653	34	11	32.3
1	10069917	15	0	0
1	18910161	18	0	0
1	31242576	39	4	10.2
1	42531053	36	1	2.7
1	44514332	20	17	85
1	44884687	16	16	100
1	45082438	23	23	100
1	45103906	12	3	25
1	45734119	21	11	52.3
1	53809158	44	42	95.4
1	55395083	17	14	82.3
1	57177986	45	1	2.2
1	57219382	26	8	30.7
1	59433584	25	23	92
1	65545305	23	23	100
1	66212315	16	0	0
1	66835307	10	0	0
1	68012984	29	1	3.4
1	71765290	21	3	14.2
1	72585626	16	0	0
1	73515867	36	0	0
1	73850821	11	9	81.8
1	73974903	17	0	0
1	76569283	11	10	90.9
1	77563316	30	14	46.6
1	78013684	35	20	57.1
1	81252200	11	0	0
1	84841624	33	0	0
1	85922781	27	6	22.2
1	88075464	45	0	0
1	88160632	14	0	0
1	88589731	34	0	0
1	95171489	24	14	58.3
1	95794455	14	0	0
1	96788257	38	0	0
1	97308201	39	0	0
1	97952158	19	0	0
1	98396456	48	1	2
1	104576456	25	6	24
1	106851500	18	4	22.2
1	107773529	22	0	0
1	107774045	26	0	0
1	108087010	24	0	0
1	114144864	26	0	0
1	118300602	33	0	0
1	120199091	23	22	95.6
1	120486544	12	7	58.3
1	121872351	39	16	41
1	121923042	11	3	27.2
1	123242348	33	28	84.8
1	127469345	21	0	0
1	128184598	30	19	63.3
1	128407515	10	10	100
1	128468018	27	1	3.7
1	130108786	45	2	4.4
1	131239229	20	1	5
1	131244692	12	6	50
1	131564388	49	1	2
1	131779836	17	17	100
1	135855816	24	12	50
1	136767171	12	10	83.3
1	138513580	11	9	81.8
1	138815402	11	5	45.4
1	143172331	33	0	0
1	143256703	50	1	2
1	143576941	37	37	100
1	143601553	35	34	97.1
1	143633214	32	2	6.2
1	143789950	10	8	80
1	144089388	11	6	54.5
1	144097677	14	8	57.1
1	144113446	10	6	60
1	144131360	33	20	60.6
1	144845436	29	0	0
1	145028821	19	0	0
1	145229639	18	6	33.3
1	145628620	27	15	55.5
1	145687388	17	14	82.3
1	145796026	42	41	97.6
1	145830719	14	10	71.4
1	145855240	39	32	82
1	146145030	50	17	34
1	146650468	24	0	0
1	146862534	16	15	93.7
1	147003460	25	15	60
1	147300360	15	2	13.3
1	147413644	12	0	0
1	148773593	53	0	0
1	150244316	12	8	66.6
1	150307837	17	0	0
1	150575245	25	19	76
1	150690959	47	0	0
1	152695442	32	1	3.1
1	153213817	380	299	78.6
1	153216714	12	9	75
1	154024500	35	35	100
1	154037270	26	25	96.1
1	154064748	35	35	100
1	154073997	31	29	93.5
1	154803225	10	6	60
1	155117764	18	18	100
1	155833681	38	27	71
1	155904598	11	11	100
1	156525145	19	18	94.7
1	157268367	32	1	3.1
1	157466110	14	11	78.5
1	158078884	21	1	4.7
1	158079022	20	1	5
10	839453	20	15	75
10	895351	31	23	74.1
10	2362225	26	0	0
10	3206375	28	0	0
10	3902345	23	22	95.6
10	4418226	27	0	0
10	4608313	12	0	0
10	5048282	34	0	0
10	5303698	13	0	0
10	5397486	33	0	0
10	5436470	39	0	0
10	5480596	15	12	80
10	6049520	18	17	94.4
10	6459865	35	0	0
10	7289744	38	0	0
10	7827314	34	15	44.1
10	7879518	37	0	0
10	8689556	27	0	0
10	9674824	26	0	0
10	9675045	11	0	0
10	12448381	35	1	2.8
10	13050532	24	23	95.8
10	14641997	58	2	3.4
10	15236293	42	1	2.3
10	16682201	28	21	75
10	17235957	30	0	0
10	18628215	24	15	62.5
10	19457678	11	9	81.8
10	19980684	15	0	0
10	20711979	17	17	100
10	20760359	29	0	0
10	20896953	13	4	30.7
10	21447535	33	0	0
10	21699022	10	0	0
10	25496921	10	7	70
10	26729619	27	11	40.7
10	29956456	45	44	97.7
10	32862341	10	0	0
10	35869364	22	21	95.4
10	36425705	30	0	0
10	36525017	10	0	0
10	36568029	27	17	62.9
10	37035952	12	1	8.3
10	37353079	21	16	76.1
10	37495980	67	0	0
10	45205833	25	0	0
10	45388883	11	0	0
10	45438659	28	1	3.5
10	45875048	18	0	0
10	46006765	32	0	0
10	47073402	48	0	0
10	49649495	26	0	0
