Chromosome	Start	End	Type
1	2206270	2206362	SINE
1	3048933	3049185	LINE
1	5238611	5241421	Satellite
1	5244169	5246987	Satellite
1	5304653	5307131	Satellite
1	44514282	44515014	LTR
1	45103809	45104078	SINE
1	45729734	45735081	Satellite
1	55387248	55395595	LINE
1	57219063	57222769	Satellite
1	65544893	65545347	LINE
1	73974895	73974984	Simple_repeat
1	95171477	95172184	LINE
1	97952132	97952167	Simple_repeat
1	104576414	104577120	LINE
1	120486403	120486595	SINE
1	123242277	123243571	LTR
1	131779507	131779849	LINE
1	135855756	135855937	SINE
1	138815141	138815505	LTR
1	143172266	143172416	DNA
1	144088109	144089703	Satellite
1	144095986	144097941	Satellite
1	144113268	144114785	Satellite
1	144131135	144132420	Satellite
1	144845378	144845437	Simple_repeat
1	146144902	146145081	LTR
1	146650426	146650489	Simple_repeat
1	150307704	150307844	Simple_repeat
1	153213264	153214920	Satellite
1	153215689	153217037	Satellite
1	154073968	154074160	DNA
10	3902314	3903099	LINE
10	5480346	5480608	LINE
10	6049485	6049757	LTR
10	18628112	18628236	LTR
10	32862310	32862355	Simple_repeat
10	46006698	46006766	Simple_repeat
10	49649447	49649529	Simple_repeat
10	59478370	59482427	Satellite
10	65433964	65438654	LTR
10	68398329	68398858	LTR
10	68733778	68737553	Satellite
10	81814818	81814885	SINE
10	84926118	84926728	LINE
10	84979110	84979352	Low_complexity
10	86415452	86415473	Simple_repeat
10	102434749	102434785	Simple_repeat
11	2400182	2400338	SINE
11	2730953	2731031	Simple_repeat
11	5490895	5490988	Simple_repeat
11	6419069	6419208	SINE
11	6425042	6425348	SINE
11	8660224	8660556	SINE
11	10489603	10489667	Simple_repeat
11	11155316	11155392	Simple_repeat
11	13438713	13438996	LINE
11	14266784	14267478	LTR
11	14980017	14980116	Simple_repeat
11	15573584	15573651	SINE
11	20986469	20987755	LTR
11	48996175	48996206	Simple_repeat
11	51895492	51895689	SINE
11	68916223	68916306	LINE
11	68949606	68949623	SINE
11	69285923	69286062	LTR
11	73952485	73953344	LINE
11	74263723	74264532	Satellite
11	82783154	82783511	LINE
11	86026645	86026804	SINE
11	86746586	86746653	SINE
11	92039146	92039250	SINE
11	94418551	94418601	Simple_repeat
11	97467092	97467232	Simple_repeat
11	98575308	98575612	LINE
11	99116517	99118649	Satellite
11	99442650	99442770	SINE
11	99629036	99629241	SINE
11	99914321	99914383	Simple_repeat
11	101578669	101578939	SINE
11	102845587	102845791	LINE
11	103161600	103161688	SINE
11	105549898	105550165	LINE
11	106190836	106190925	Simple_repeat
11	107056108	107056169	SINE
12	34739	39504	Satellite
12	14848170	14848214	Simple_repeat
12	20364546	20364771	LTR
12	24837973	24838011	Simple_repeat
12	28309778	28310331	LTR
12	31610451	31610863	LINE
12	33639919	33640219	SINE
12	35799283	35799593	SINE
12	54094215	54094287	Simple_repeat
12	55255062	55255666	LINE
12	68115696	68116530	LTR
12	70580202	70581949	LINE
12	71528301	71534131	LINE
12	83038355	83045804	LINE
12	83405470	83405538	LINE
12	86228225	86228430	SINE
12	89556170	89556546	LINE
12	90862066	90862287	LINE
13	789485	789603	Low_complexity
13	11003586	11004097	LTR
13	16776479	16780192	LINE
13	21707110	21707284	SINE
13	28511718	28511997	SINE
13	31359668	31359788	LINE
13	37129297	37129356	Low_complexity
13	37132944	37133121	DNA
13	40676914	40677619	LINE
13	43522070	43522118	LINE
13	48992889	48993462	Satellite
13	49007766	49008439	Satellite
13	60918143	60918233	Simple_repeat
13	60918202	60918236	Simple_repeat
13	61699332	61699391	Simple_repeat
13	62653992	62654791	LINE
13	66158792	66158996	SINE
13	70951405	70951656	SINE
13	73143713	73144234	LTR
13	77696397	77696567	SINE
13	80231895	80232034	SINE
13	81119027	81120330	LINE
13	81609301	81609433	SINE
14	404962	405147	SINE
14	512687	513085	LINE
14	1787466	1787582	Low_complexity
14	1840084	1840140	Simple_repeat
14	2248665	2248737	SINE
14	4592297	4592438	LINE
14	4670881	4670950	SINE
14	4851997	4852218	LINE
14	4917055	4922144	Satellite
14	9084658	9085016	LINE
14	11036898	11037318	LTR
14	13636101	13636379	LINE
14	16275060	16275615	LTR
14	17254364	17254437	Simple_repeat
14	18005925	18006076	SINE
14	21371491	21371651	Unknown
14	24292408	24292780	LINE
14	39708412	39708479	SINE
14	70416177	70416230	Simple_repeat
14	84008091	84009268	LTR
15	4986682	4986743	SINE
15	13457271	13458375	LTR
15	22905606	22906243	LTR
15	23022798	23023001	SINE
15	24014045	24014420	LTR
15	43986246	43987031	LTR
15	67576964	67577169	SINE
15	75167358	75167478	SINE
15	75187024	75187081	Simple_repeat
15	75648747	75649093	LINE
15	82272821	82274967	Satellite
15	82594848	82597570	Satellite
16	86759	143393	Satellite
16	2029298	2029334	Simple_repeat
16	3979614	3979681	SINE
16	28593976	28595263	LINE
16	29380911	29381688	LINE
16	29949713	29949768	Simple_repeat
16	30077854	30077914	Simple_repeat
16	31156651	31157500	LINE
16	41820444	41821150	LINE
16	43866973	43868276	LINE
16	54013445	54014126	LINE
16	63167518	63171246	Satellite
16	63184814	63186162	Satellite
16	63535208	63535401	SINE
16	64953215	64953399	SINE
16	70959884	70959922	Low_complexity
16	78750933	78751569	LINE
17	4457616	4457850	SINE
17	4738603	4739393	LTR
17	12231128	12231326	SINE
17	12988701	12988759	Simple_repeat
17	20122154	20122366	SINE
17	36340178	36340209	Simple_repeat
17	44980788	44988957	LINE
17	50201549	50202992	Satellite
17	60706626	60707087	DNA
17	62484249	62484465	SINE
17	63630752	63630888	LINE
17	67122579	67122720	SINE
17	67767031	67767496	LTR
17	71605448	71605484	Simple_repeat
17	73485605	73486142	LTR
17	73987820	73987981	SINE
17	74312619	74312670	Low_complexity
18	1744482	1744624	SINE
18	4449480	4449550	Simple_repeat
18	5091651	5092102	LTR
18	6083435	6083737	LINE
18	6251527	6251674	SINE
