Chromosome	Start	End	CovA1	FreqCA1	CovB1	FreqCB1	Methyl diff	Methylation state in Condition_A
1	886821	886822	16	0	10	10	-100.0	hypometh
1	1291148	1291149	14	0	19	19	-100.0	hypometh
1	1291218	1291219	13	0	18	18	-100.0	hypometh
1	1291284	1291285	11	0	14	14	-100.0	hypometh
1	1787140	1787141	13	0	16	16	-100.0	hypometh
1	1787236	1787237	13	0	15	15	-100.0	hypometh
1	1787260	1787261	13	0	16	16	-100.0	hypometh
1	1805044	1805045	16	0	12	12	-100.0	hypometh
1	1988405	1988406	10	10	28	0	100.0	hypermeth
1	2343120	2343121	17	17	23	0	100.0	hypermeth
1	2343139	2343140	17	17	23	0	100.0	hypermeth
1	2343150	2343151	17	17	23	0	100.0	hypermeth
1	2343174	2343175	17	17	23	0	100.0	hypermeth
1	2424345	2424346	18	18	11	0	100.0	hypermeth
1	2459374	2459375	17	17	17	0	100.0	hypermeth
1	2739338	2739339	10	0	11	11	-100.0	hypometh
1	2996229	2996230	32	32	18	0	100.0	hypermeth
1	3432096	3432097	19	0	11	11	-100.0	hypometh
1	3721799	3721800	18	18	41	0	100.0	hypermeth
1	3721825	3721826	18	18	41	0	100.0	hypermeth
1	3721843	3721844	18	18	41	0	100.0	hypermeth
1	5036180	5036181	15	15	26	0	100.0	hypermeth
1	5036281	5036282	11	11	17	0	100.0	hypermeth
1	5284756	5284757	11	11	21	0	100.0	hypermeth
1	6173975	6173976	18	18	14	0	100.0	hypermeth
1	6174008	6174009	18	18	14	0	100.0	hypermeth
1	6174028	6174029	11	11	17	0	100.0	hypermeth
1	6174053	6174054	14	14	23	0	100.0	hypermeth
1	6174062	6174063	14	14	23	0	100.0	hypermeth
1	6174098	6174099	14	14	23	0	100.0	hypermeth
1	6174114	6174115	14	14	23	0	100.0	hypermeth
1	6174117	6174118	14	14	23	0	100.0	hypermeth
1	6174128	6174129	14	14	23	0	100.0	hypermeth
1	6174165	6174166	10	10	13	0	100.0	hypermeth
1	6415072	6415073	17	17	19	0	100.0	hypermeth
1	9195701	9195702	12	0	13	13	-100.0	hypometh
1	9195743	9195744	13	0	13	13	-100.0	hypometh
1	9195751	9195752	12	0	13	13	-100.0	hypometh
1	9606046	9606047	15	15	28	0	100.0	hypermeth
1	10520299	10520300	16	0	10	10	-100.0	hypometh
1	16722268	16722269	12	12	20	0	100.0	hypermeth
1	16722285	16722286	19	19	32	0	100.0	hypermeth
1	21094728	21094729	14	14	10	0	100.0	hypermeth
1	21094731	21094732	14	14	10	0	100.0	hypermeth
1	21094775	21094776	14	14	10	0	100.0	hypermeth
1	22412156	22412157	17	17	14	0	100.0	hypermeth
1	22412244	22412245	12	12	20	0	100.0	hypermeth
1	22412298	22412299	20	20	22	0	100.0	hypermeth
1	24750073	24750074	12	12	13	0	100.0	hypermeth
1	33691478	33691479	14	14	18	0	100.0	hypermeth
1	33691499	33691500	14	14	18	0	100.0	hypermeth
1	33691534	33691535	17	17	17	0	100.0	hypermeth
1	34683711	34683712	10	10	17	0	100.0	hypermeth
1	34683717	34683718	10	10	17	0	100.0	hypermeth
1	37691029	37691030	15	15	31	0	100.0	hypermeth
1	37691040	37691041	15	15	31	0	100.0	hypermeth
1	37691045	37691046	15	15	31	0	100.0	hypermeth
1	37691050	37691051	15	15	30	0	100.0	hypermeth
1	37691059	37691060	15	15	31	0	100.0	hypermeth
1	37691063	37691064	15	15	31	0	100.0	hypermeth
1	37691081	37691082	15	15	31	0	100.0	hypermeth
1	37691085	37691086	15	15	30	0	100.0	hypermeth
1	37691092	37691093	15	15	31	0	100.0	hypermeth
1	37691109	37691110	15	15	31	0	100.0	hypermeth
1	37691182	37691183	19	19	18	0	100.0	hypermeth
1	37691664	37691665	12	12	16	0	100.0	hypermeth
1	41699167	41699168	10	10	13	0	100.0	hypermeth
1	41699170	41699171	10	10	13	0	100.0	hypermeth
1	41699182	41699183	10	10	13	0	100.0	hypermeth
1	41736546	41736547	10	10	10	0	100.0	hypermeth
1	43647948	43647949	14	14	13	0	100.0	hypermeth
1	43647954	43647955	12	12	28	0	100.0	hypermeth
1	43647964	43647965	12	12	28	0	100.0	hypermeth
1	43647992	43647993	12	12	27	0	100.0	hypermeth
1	43647998	43647999	12	12	28	0	100.0	hypermeth
1	43648003	43648004	12	12	28	0	100.0	hypermeth
1	43714574	43714575	15	15	10	0	100.0	hypermeth
1	44143013	44143014	16	16	11	0	100.0	hypermeth
1	44857702	44857703	14	14	13	0	100.0	hypermeth
1	44858087	44858088	11	11	16	0	100.0	hypermeth
1	44858925	44858926	21	21	15	0	100.0	hypermeth
1	44858973	44858974	20	20	15	0	100.0	hypermeth
1	44922641	44922642	14	14	17	0	100.0	hypermeth
1	45090787	45090788	20	20	19	0	100.0	hypermeth
1	45091436	45091437	10	10	14	0	100.0	hypermeth
1	47068793	47068794	13	13	23	0	100.0	hypermeth
1	47068939	47068940	20	20	26	0	100.0	hypermeth
1	47068983	47068984	15	15	25	0	100.0	hypermeth
1	47069322	47069323	14	14	11	0	100.0	hypermeth
1	54518692	54518693	19	19	18	0	100.0	hypermeth
1	56720274	56720275	20	0	24	24	-100.0	hypometh
1	56720284	56720285	20	0	24	24	-100.0	hypometh
1	56720289	56720290	20	0	24	24	-100.0	hypometh
1	56720321	56720322	20	0	24	24	-100.0	hypometh
1	56720351	56720352	22	0	20	20	-100.0	hypometh
1	56720362	56720363	21	0	23	23	-100.0	hypometh
1	57462661	57462662	11	11	13	0	100.0	hypermeth
1	57853046	57853047	22	22	16	0	100.0	hypermeth
1	57853127	57853128	11	11	11	0	100.0	hypermeth
1	57853136	57853137	11	11	11	0	100.0	hypermeth
1	57853163	57853164	11	11	11	0	100.0	hypermeth
1	57853200	57853201	11	11	11	0	100.0	hypermeth
1	57853230	57853231	11	11	11	0	100.0	hypermeth
1	58775458	58775459	12	12	25	0	100.0	hypermeth
1	59432438	59432439	22	22	11	0	100.0	hypermeth
1	59432589	59432590	22	22	11	0	100.0	hypermeth
1	59432675	59432676	14	14	35	0	100.0	hypermeth
1	59432682	59432683	14	14	35	0	100.0	hypermeth
1	59433020	59433021	14	14	16	0	100.0	hypermeth
1	59433034	59433035	14	14	16	0	100.0	hypermeth
1	59433044	59433045	11	11	12	0	100.0	hypermeth
