Chromosome	Start	End	CovA1	FreqCA1	CovA2	FreqCA2	CovB1	FreqCB1	CovB2	FreqCB2	pvalue	Methyl diff	Methylation state in Condition_A
1	933202	933203	21	0	25	1	22	21	32	31	0.00884790926371893	-94.1259435497002	hypometh
1	933210	933211	21	0	25	1	22	21	32	31	0.00884790926371893	-94.1259435497002	hypometh
1	933235	933236	21	0	25	1	22	20	32	32	0.00884790683532631	-94.1261666299479	hypometh
1	1988405	1988406	10	10	44	43	28	0	34	1	0.00706438519019661	96.5360269139541	hypermeth
1	2343120	2343121	17	17	24	24	23	0	35	0	0.0073634872346867	100	hypermeth
1	2343126	2343127	17	16	24	24	23	0	35	1	0.00859852976713368	95.8366116332242	hypermeth
1	2343139	2343140	17	17	24	24	23	0	35	0	0.0073634872346867	100	hypermeth
1	2343150	2343151	17	17	24	24	23	0	35	0	0.0073634872346867	100	hypermeth
1	2343164	2343165	17	16	24	24	23	0	35	1	0.00859852976713368	95.8366116332242	hypermeth
1	2343174	2343175	17	17	24	24	23	0	35	0	0.0073634872346867	100	hypermeth
1	3721792	3721793	18	18	19	18	41	1	40	2	0.00859185913280364	93.5961774759357	hypermeth
1	3721799	3721800	18	18	19	19	41	0	40	1	0.00719322786203094	98.7657286813045	hypermeth
1	3721825	3721826	18	18	19	19	41	0	38	1	0.00727277748311376	98.7346315474345	hypermeth
1	3721833	3721834	18	17	19	19	41	0	40	1	0.00779440550495565	96.0648470213389	hypermeth
1	3721843	3721844	18	18	19	18	41	0	40	0	0.007274468820396	97.2991184151886	hypermeth
1	3753424	3753425	21	20	39	38	31	3	33	3	0.00862780725917493	87.2915596242388	hypermeth
1	3753444	3753445	21	20	39	39	31	3	33	3	0.00812292333046374	88.9584341948255	hypermeth
1	3753452	3753453	21	21	39	39	31	2	33	1	0.00670491899980342	95.3130177543106	hypermeth
1	3753458	3753459	21	17	39	34	31	1	33	1	0.00978012143102331	81.8766056311001	hypermeth
1	5036180	5036181	15	15	20	20	26	0	27	0	0.00834849349329696	100	hypermeth
1	5036214	5036215	22	20	24	19	38	0	39	0	0.00862641261948755	84.7841833090883	hypermeth
1	5036219	5036220	22	20	23	22	38	0	39	0	0.00732364377123136	93.3333417727564	hypermeth
1	5036246	5036247	22	20	24	20	38	0	39	0	0.00826234100022476	86.9565078430154	hypermeth
1	5036250	5036251	22	19	24	23	38	1	39	0	0.00814001139414467	90.0062049384538	hypermeth
1	5036256	5036257	22	21	24	24	38	0	39	0	0.00651844589633784	97.8288941724596	hypermeth
1	5036277	5036278	22	20	24	23	38	0	39	0	0.00721892227192126	93.4782342479671	hypermeth
1	5233914	5233915	107	101	137	131	40	12	105	30	0.00491190580732559	66.1169005329244	hypermeth
1	5233925	5233926	90	77	88	80	65	12	120	18	0.00473506204957343	71.9818797689277	hypermeth
1	5233936	5233937	90	69	88	68	65	11	119	23	0.00746385354255939	58.4873498075806	hypermeth
1	5233961	5233962	90	68	88	63	65	2	120	15	0.00667460135080325	64.6399870858393	hypermeth
1	5234170	5234171	70	50	74	50	49	4	90	11	0.00897253695111275	58.65000990443	hypermeth
1	5234201	5234202	47	41	41	32	29	2	52	3	0.00855588812554758	76.783185492304	hypermeth
1	5236197	5236198	85	75	84	72	84	9	89	8	0.00428901764638331	77.1535274560142	hypermeth
1	5236227	5236228	104	71	131	92	106	7	116	5	0.00440999750513876	63.9531843235838	hypermeth
1	5236436	5236437	107	77	128	88	105	5	159	9	0.00388937620284103	64.9091898333138	hypermeth
1	5236461	5236462	107	87	128	89	105	19	158	29	0.00585741304830993	56.6470332684484	hypermeth
1	5236472	5236473	107	92	128	108	105	20	158	31	0.00424996328267315	65.7159051843854	hypermeth
1	5237883	5237884	251	219	292	270	337	150	353	134	0.00489840990255754	48.7977967820376	hypermeth
1	5238212	5238213	24	21	184	169	200	58	391	86	0.00363954647216063	66.7536717107405	hypermeth
1	5238666	5238667	31	28	47	41	41	7	113	23	0.00905452765603256	68.9838201203413	hypermeth
1	5238702	5238703	31	21	47	39	41	2	113	4	0.00696453941149946	73.0276563067328	hypermeth
1	5241170	5241171	35	18	57	35	93	2	93	3	0.00870985304368847	54.9225807520192	hypermeth
1	5241201	5241202	35	28	57	49	93	11	93	12	0.00695923877280866	71.3263074783241	hypermeth
1	5242786	5242787	88	75	104	92	82	15	114	23	0.00508113343921694	67.5914295305937	hypermeth
1	5242797	5242798	88	67	104	85	82	20	114	14	0.00862041905311887	61.4737577922048	hypermeth
1	5242822	5242823	88	67	104	84	82	5	113	7	0.00418388778485182	72.4906764178091	hypermeth
1	5243031	5243032	89	60	105	74	84	4	95	7	0.00564072706149824	62.9252929871278	hypermeth
1	5243898	5243899	59	35	56	35	72	1	82	3	0.00787847752878915	58.271357456373	hypermeth
1	5243929	5243930	58	42	55	43	71	9	79	13	0.00949636277024849	60.5549709262115	hypermeth
1	5245198	5245199	24	15	106	71	146	12	191	18	0.00639942211135888	57.2510535171574	hypermeth
1	5245218	5245219	24	23	106	99	146	37	191	24	0.00805277953081091	75.1650197894123	hypermeth
1	5245225	5245226	24	23	106	98	146	42	191	56	0.00570390498829432	63.9970139060055	hypermeth
1	5246337	5246338	48	43	66	58	166	39	138	22	0.00574953936228007	68.53154556245	hypermeth
1	5246411	5246412	52	36	79	45	176	7	175	9	0.0055173410207128	57.2740826043967	hypermeth
1	5246442	5246443	52	43	79	64	176	24	175	23	0.00489611062942106	68.2894399795351	hypermeth
1	5247671	5247672	97	80	265	218	209	42	288	51	0.00271402283526623	63.6092292801319	hypermeth
1	5247881	5247882	198	143	163	139	172	38	190	33	0.00907906439651418	58.8168946813459	hypermeth
1	5247893	5247894	438	406	365	339	437	138	410	113	0.00129675199855143	63.1437618654889	hypermeth
1	5247922	5247923	436	322	362	282	435	56	407	35	0.00180236144933171	64.9681363428022	hypermeth
1	5247938	5247939	436	404	365	344	437	125	410	75	0.00307455631483913	69.8530155639012	hypermeth
1	5247945	5247946	436	411	365	346	436	197	411	175	0.00181112842013309	50.588686548707	hypermeth
1	5247949	5247950	436	360	364	304	437	115	411	96	0.00167047879909087	58.1202845669398	hypermeth
1	5247980	5247981	438	406	365	342	437	105	411	84	0.00104288012226752	70.8601450418072	hypermeth
1	5247987	5247988	438	398	362	334	434	155	408	122	0.00151826854538791	58.6017480528351	hypermeth
