Chromosome	Start	End	Type
1	178297	180180	CpG:
1	733575	734527	CpG:
1	2107600	2108663	CpG:
1	2204145	2205475	CpG:
1	3049220	3050865	CpG:
1	10068341	10070212	CpG:
1	18908970	18910781	CpG:
1	31242116	31243208	CpG:
1	42530990	42531673	CpG:
1	57178531	57178881	CpG:
1	59432833	59433966	CpG:
1	66212205	66212912	CpG:
1	66834435	66835308	CpG:
1	68012000	68012798	CpG:
1	71765090	71765298	CpG:
1	73515558	73516369	CpG:
1	73974887	73976026	CpG:
1	81251972	81252710	CpG:
1	84841170	84841956	CpG:
1	85921228	85921443	CpG:
1	88074743	88075583	CpG:
1	88160264	88160967	CpG:
1	88588860	88589556	CpG:
1	95170041	95170482	CpG:
1	95795780	95796653	CpG:
1	96787942	96789434	CpG:
1	97308001	97308775	CpG:
1	97951786	97952193	CpG:
1	98396312	98396666	CpG:
1	106850409	106851141	CpG:
1	107773471	107774910	CpG:
1	108085807	108087222	CpG:
1	114144678	114145206	CpG:
1	118299954	118301538	CpG:
1	121872121	121872438	CpG:
1	121919626	121920016	CpG:
1	127469166	127469737	CpG:
1	128184590	128185128	CpG:
1	128467205	128468260	CpG:
1	130107416	130109196	CpG:
1	131238988	131239607	CpG:
1	131241299	131244238	CpG:
1	131564314	131565007	CpG:
1	138814072	138814783	CpG:
1	143172455	143172778	CpG:
1	143173275	143173636	CpG:
1	143255095	143256823	CpG:
1	143576832	143577204	CpG:
1	143597533	143598190	CpG:
1	143633625	143634067	CpG:
1	144844943	144846216	CpG:
1	145028301	145029471	CpG:
1	145792723	145793001	CpG:
1	145855169	145855477	CpG:
1	146649615	146651058	CpG:
1	146862533	146862976	CpG:
1	147002453	147003177	CpG:
1	147412055	147412272	CpG:
1	148773136	148777954	CpG:
1	150307333	150308134	CpG:
1	150689981	150690999	CpG:
1	152694190	152695692	CpG:
1	154024416	154024633	CpG:
1	154037303	154037964	CpG:
1	154802535	154803191	CpG:
1	155114032	155114581	CpG:
1	155833580	155834504	CpG:
1	155904458	155904716	CpG:
1	157267939	157268580	CpG:
1	158078599	158080037	CpG:
10	2361553	2362279	CpG:
10	3204910	3206811	CpG:
10	4418064	4418917	CpG:
10	4607777	4609162	CpG:
10	5047757	5048423	CpG:
10	5303439	5304662	CpG:
10	5398938	5399165	CpG:
10	5435811	5436547	CpG:
10	6458917	6460264	CpG:
10	7289418	7291401	CpG:
10	7878519	7880265	CpG:
10	8689458	8689827	CpG:
10	9674371	9674816	CpG:
10	12448020	12448523	CpG:
10	13053470	13053699	CpG:
10	14639858	14640157	CpG:
10	14642041	14649115	CpG:
10	15235768	15236950	CpG:
10	19980362	19981928	CpG:
10	20759721	20760589	CpG:
10	20892759	20893430	CpG:
10	21447150	21448415	CpG:
10	21698581	21700721	CpG:
10	26729200	26729548	CpG:
10	32862301	32862606	CpG:
10	36425283	36425922	CpG:
10	36525119	36525538	CpG:
10	37034638	37037451	CpG:
10	37495553	37496616	CpG:
10	45205315	45206574	CpG:
10	45874688	45875103	CpG:
10	46006554	46007036	CpG:
10	47072810	47073413	CpG:
10	49648999	49650876	CpG:
10	50281570	50283757	CpG:
10	51597556	51598797	CpG:
10	62436089	62436458	CpG:
10	65652060	65652302	CpG:
10	66748475	66748827	CpG:
10	66755032	66758614	CpG:
10	67756138	67756818	CpG:
10	68777791	68779520	CpG:
10	69469240	69469629	CpG:
10	70838136	70840302	CpG:
10	73143363	73143666	CpG:
10	76999595	77000021	CpG:
10	79732333	79733423	CpG:
10	83240209	83241335	CpG:
10	84785530	84787181	CpG:
10	85324768	85326214	CpG:
10	85460569	85461343	CpG:
10	85587576	85588270	CpG:
10	85776325	85776872	CpG:
10	86415155	86415833	CpG:
10	87686149	87686884	CpG:
10	89073559	89074016	CpG:
10	89246032	89249005	CpG:
10	89588619	89590015	CpG:
10	90132153	90132437	CpG:
10	98231331	98235885	CpG:
10	101236952	101239102	CpG:
10	101248094	101249713	CpG:
10	101252630	101252886	CpG:
10	101259855	101261248	CpG:
10	102151242	102152523	CpG:
10	102434754	102435376	CpG:
10	102904218	102904680	CpG:
10	102939070	102939366	CpG:
10	103112593	103113068	CpG:
10	103249615	103249995	CpG:
10	103473830	103474056	CpG:
11	140324	141276	CpG:
11	2305120	2306402	CpG:
11	2401338	2401959	CpG:
11	2490423	2491021	CpG:
11	2730468	2732391	CpG:
11	2792186	2794014	CpG:
11	3082123	3082370	CpG:
11	3101625	3102130	CpG:
11	5490411	5490875	CpG:
11	5587661	5588006	CpG:
11	6238164	6239362	CpG:
11	6296043	6297169	CpG:
11	6361048	6361374	CpG:
11	9253397	9253702	CpG:
11	9254212	9254528	CpG:
11	9277879	9278673	CpG:
11	10104647	10107955	CpG:
11	10489451	10490138	CpG:
11	11154851	11155650	CpG:
11	11511943	11513071	CpG:
11	12370399	12376172	CpG:
11	13034412	13034624	CpG:
11	13437920	13438711	CpG:
11	13518997	13520150	CpG:
11	13520407	13520712	CpG:
11	13521398	13521646	CpG:
11	13522103	13522332	CpG:
11	14979473	14980942	CpG:
11	19564246	19564829	CpG:
11	19788183	19788988	CpG:
11	21760838	21761952	CpG:
11	25585480	25588813	CpG:
11	27191671	27194567	CpG:
11	28772472	28772777	CpG:
11	36370770	36371425	CpG:
11	40547844	40548517	CpG:
11	43489414	43490407	CpG:
11	44200228	44200888	CpG:
11	46849186	46851541	CpG:
11	47302335	47303144	CpG:
11	48065700	48067501	CpG:
11	48995823	48997098	CpG:
11	49226859	49227438	CpG:
11	49715450	49716169	CpG:
11	60032369	60033061	CpG:
11	61481406	61482293	CpG:
11	62876858	62877791	CpG:
11	63011499	63012934	CpG:
11	68070037	68070698	CpG:
11	68382191	68384440	CpG:
11	68441366	68442069	CpG:
11	69617245	69619333	CpG:
11	72236783	72237758	CpG:
11	72291763	72292627	CpG:
11	72383986	72384381	CpG:
11	73173158	73173710	CpG:
11	73399871	73400912	CpG:
11	73950810	73951026	CpG:
11	75621305	75623202	CpG:
11	78694885	78697031	CpG:
11	79486677	79490204	CpG:
11	80888409	80890237	CpG:
11	83656090	83659730	CpG:
11	86117766	86118509	CpG:
11	86345885	86346644	CpG:
11	86834638	86835460	CpG:
11	87174681	87176011	CpG:
