Chromosome	Position	Coverage	# methylated	% methylated
1	20353	14	14	100
1	20357	14	13	92.8
1	20377	14	13	92.8
1	20388	11	10	90.9
1	20397	11	9	81.8
1	20538	14	14	100
1	20553	14	13	92.8
1	54636	15	8	53.3
1	54673	15	7	46.6
1	58757	27	13	48.1
1	58815	19	16	84.2
1	75864	10	10	100
1	75870	10	10	100
1	75873	10	10	100
1	75904	10	10	100
1	75916	10	8	80
1	138312	18	12	66.6
1	138320	18	14	77.7
1	138359	13	12	92.3
1	166151	19	17	89.4
1	166251	21	16	76.1
1	168534	10	8	80
1	168699	10	8	80
1	168719	10	9	90
1	176383	12	10	83.3
1	176434	16	16	100
1	178407	13	0	0
1	178416	29	3	10.3
1	178438	29	6	20.6
1	178453	29	1	3.4
1	178466	24	0	0
1	178480	18	6	33.3
1	178484	18	6	33.3
1	178489	18	7	38.8
1	178492	18	6	33.3
1	178504	18	5	27.7
1	178507	18	5	27.7
1	178525	17	8	47
1	178528	17	4	23.5
1	178531	17	2	11.7
1	178540	18	5	27.7
1	178545	18	8	44.4
1	178549	18	10	55.5
1	178553	18	10	55.5
1	178573	18	1	5.5
1	178588	18	2	11.1
1	178595	18	9	50
1	178598	21	2	9.5
1	178607	16	4	25
1	178619	16	1	6.2
1	178627	16	1	6.2
1	178630	16	1	6.2
1	178645	16	2	12.5
1	178880	21	0	0
1	178895	21	2	9.5
1	178930	21	1	4.7
1	178935	16	1	6.2
1	178948	11	0	0
1	178958	11	0	0
1	178967	11	0	0
1	178970	11	1	9
1	178978	11	0	0
1	178985	11	3	27.2
1	178997	11	0	0
1	179008	11	1	9
1	179024	11	2	18.1
1	179030	11	0	0
1	179038	11	0	0
1	179057	11	0	0
1	179060	16	0	0
1	179071	20	1	5
1	179077	20	1	5
1	179090	20	0	0
1	179098	20	4	20
1	179107	20	3	15
1	179120	20	1	5
1	179126	18	0	0
1	179131	13	0	0
1	179137	13	0	0
1	179150	13	2	15.3
1	179158	13	1	7.6
1	179167	13	2	15.3
1	179180	13	2	15.3
1	179240	12	0	0
1	179245	26	0	0
1	179252	26	0	0
1	179264	26	3	11.5
1	179278	25	0	0
1	179294	26	0	0
1	179310	14	0	0
1	179518	12	0	0
1	179525	12	0	0
1	179531	12	0	0
1	179534	12	0	0
1	179542	11	0	0
1	179546	12	1	8.3
1	179554	12	1	8.3
1	179561	14	1	7.1
1	179564	12	0	0
1	179570	12	0	0
1	179595	12	0	0
1	179606	12	0	0
1	179768	15	0	0
1	179775	21	0	0
1	179782	22	0	0
1	179791	22	0	0
1	179794	22	0	0
1	179804	22	0	0
1	179817	22	0	0
1	179844	11	2	18.1
1	179847	23	4	17.3
1	179850	23	2	8.6
1	179858	23	4	17.3
1	179863	23	1	4.3
1	179870	23	1	4.3
1	179879	23	2	8.6
1	179900	23	1	4.3
1	179903	23	1	4.3
1	179917	18	1	5.5
1	180117	11	0	0
