Chromosome	Position	Coverage	# methylated	% methylated
1	20177	13	0	0
1	20191	13	3	23
1	20234	13	0	0
1	20249	13	0	0
1	54636	11	11	100
1	54673	11	0	0
1	58653	10	10	100
1	58757	18	14	77.7
1	116007	13	10	76.9
1	116025	13	12	92.3
1	116030	13	10	76.9
1	138312	13	13	100
1	138320	13	10	76.9
1	138359	12	10	83.3
1	139630	10	10	100
1	166251	16	16	100
1	176383	11	11	100
1	176434	17	17	100
1	178466	10	0	0
1	178480	19	0	0
1	178484	19	0	0
1	178489	19	0	0
1	178492	18	1	5.5
1	178504	18	0	0
1	178507	17	0	0
1	178525	19	0	0
1	178528	19	0	0
1	178531	19	0	0
1	178540	18	1	5.5
1	178545	18	0	0
1	178549	18	0	0
1	178553	18	1	5.5
1	178573	18	0	0
1	178588	19	0	0
1	178595	19	0	0
1	178598	21	0	0
1	178607	18	0	0
1	178619	18	0	0
1	178627	18	0	0
1	178630	18	0	0
1	178645	18	0	0
1	178651	17	0	0
1	178655	11	0	0
1	178666	11	0	0
1	178880	15	0	0
1	178895	15	0	0
1	178930	15	0	0
1	178935	18	0	0
1	178948	20	0	0
1	178958	20	0	0
1	178967	20	0	0
1	178970	20	0	0
1	178978	20	0	0
1	178985	20	0	0
1	178997	20	0	0
1	179008	20	1	5
1	179024	20	0	0
1	179030	20	0	0
1	179038	20	0	0
1	179057	20	0	0
1	179060	18	0	0
1	179071	20	0	0
1	179077	20	0	0
1	179090	20	0	0
1	179098	20	0	0
1	179107	20	1	5
1	179120	20	0	0
1	179126	21	0	0
1	179131	11	0	0
1	179137	12	0	0
1	179150	12	0	0
1	179158	12	0	0
1	179167	12	0	0
1	179180	12	1	8.3
1	179245	27	0	0
1	179252	26	0	0
1	179264	27	0	0
1	179278	27	0	0
1	179294	27	0	0
1	179310	22	0	0
1	179518	11	0	0
1	179525	11	0	0
1	179531	11	0	0
1	179534	11	0	0
1	179542	11	0	0
1	179546	11	0	0
1	179554	11	0	0
1	179561	18	0	0
1	179564	16	0	0
1	179570	16	0	0
1	179595	16	0	0
1	179606	16	0	0
1	179768	11	0	0
1	179775	22	0	0
1	179782	22	0	0
1	179791	22	0	0
1	179794	22	0	0
1	179804	22	0	0
1	179817	22	0	0
1	179838	11	0	0
1	179847	22	0	0
1	179850	22	0	0
1	179858	22	1	4.5
1	179863	22	0	0
1	179870	21	0	0
1	179879	22	1	4.5
1	179900	22	0	0
1	179903	22	0	0
1	179917	21	0	0
1	179945	14	0	0
1	179967	14	0	0
1	180055	14	0	0
1	180062	14	0	0
1	180072	14	0	0
1	180089	14	0	0
1	180092	14	0	0
1	180096	14	0	0
1	180117	14	0	0
1	180135	21	0	0
1	180149	21	0	0
1	180167	21	0	0
1	180179	21	0	0
1	180220	21	0	0
1	180259	15	0	0
1	193659	21	18	85.7
1	193669	30	29	96.6
1	193679	33	33	100
1	193724	33	31	93.9
1	193749	20	19	95
1	208170	19	18	94.7
1	208256	13	13	100
1	214488	20	20	100
1	214562	17	16	94.1
1	214567	22	21	95.4
1	214593	22	20	90.9
1	214655	18	18	100
1	242020	10	0	0
1	242033	10	0	0
1	242037	10	0	0
1	242051	10	0	0
1	242133	10	0	0
1	242145	10	0	0
1	242175	10	0	0
1	242219	10	0	0
1	242231	10	0	0
1	242234	10	0	0
1	242248	10	0	0
1	242322	15	0	0
1	242328	22	0	0
1	242331	22	0	0
1	242345	22	0	0
1	242348	21	0	0
1	242361	19	0	0
1	242374	22	0	0
1	242384	21	0	0
1	242392	21	0	0
1	242430	21	0	0
1	242435	21	0	0
1	242438	21	0	0
1	242442	21	0	0
1	242447	20	0	0
1	242451	21	1	4.7
1	242456	21	0	0
1	242462	21	0	0
1	242477	21	0	0
1	242482	21	0	0
1	242490	21	0	0
1	242501	21	0	0
1	242507	21	0	0
1	242511	18	0	0
1	242517	16	0	0
1	242520	16	0	0
1	242526	16	0	0
1	242532	16	0	0
1	242553	16	0	0
1	242592	16	0	0
1	242601	16	0	0
1	242618	16	0	0
1	242628	16	0	0
1	242634	16	0	0
1	242645	11	0	0
1	242864	17	0	0
1	242869	31	0	0
1	242880	31	0	0
1	242946	31	0	0
1	242949	31	0	0
1	242962	31	1	3.2
1	242968	28	0	0
1	242997	17	0	0
1	243012	18	0	0
1	243016	18	1	5.5
1	252480	16	16	100
1	264936	10	10	100
1	264944	22	21	95.4
1	264968	22	21	95.4
