Chromosome	Start	End	CovA1	FreqCA1	CovA2	FreqCA2	CovB1	FreqCB1	CovB2	FreqCB2	pvalue	Methyl diff	Methylation state in Condition_A
101	178480	178481	13	4	18	6	19	0	13	0	5.86184975069903e-05	32.258064516129	hypermeth
101	178484	178485	13	4	18	6	19	0	13	0	5.86184975069903e-05	32.258064516129	hypermeth
101	178489	178490	13	4	18	7	19	0	13	0	2.17712434182893e-05	35.4838709677419	hypermeth
101	178492	178493	13	4	18	6	18	1	13	0	0.00144785265238789	29.0322580645161	hypermeth
101	178525	178526	12	5	17	8	19	0	13	0	1.37809934108724e-06	44.8275862068966	hypermeth
101	178528	178529	13	4	17	4	19	0	13	0	0.000330622882100062	26.6666666666667	hypermeth
101	178531	178532	13	6	17	2	19	0	13	0	0.000330622883703113	26.6666666666667	hypermeth
101	178540	178541	13	4	18	5	18	1	12	0	0.00394553189966096	25.6989247311828	hypermeth
101	178545	178546	13	5	18	8	18	0	12	0	4.50383617922601e-06	41.9354838709677	hypermeth
101	178549	178550	13	1	18	10	18	0	12	0	3.2831989401072e-05	35.4838709677419	hypermeth
101	178553	178554	13	7	18	10	18	1	12	0	2.04001369785711e-06	51.505376344086	hypermeth
101	178595	178596	12	3	18	9	19	0	13	0	5.82791007919248e-06	40	hypermeth
101	214593	214594	20	18	30	27	22	20	30	12	0.000591235278753599	28.4615384615385	hypermeth
101	252480	252481	23	7	23	13	16	16	16	16	1.68167535452568e-09	-56.5217391304348	hypometh
101	535487	535488	17	8	36	25	14	14	22	22	7.09507433360734e-07	-37.7358490566038	hypometh
101	558926	558927	12	10	23	22	12	3	21	3	1.14550036123262e-10	73.2467532467532	hypermeth
101	558993	558994	12	9	23	16	12	1	21	2	3.98983970306688e-08	62.3376623376623	hypermeth
101	564822	564823	13	12	23	21	20	5	31	1	3.33066907387547e-15	79.9019607843137	hypermeth
101	667201	667202	15	5	22	10	10	10	16	15	8.44269557931376e-07	-55.6133056133056	hypometh
101	681616	681617	12	4	20	5	10	10	20	18	2.72678185586628e-08	-65.2083333333333	hypometh
101	681628	681629	12	3	20	4	10	10	20	19	9.406786460886e-11	-74.7916666666667	hypometh
101	681641	681642	12	4	19	6	10	8	19	18	2.11749854794885e-06	-57.3971078976641	hypometh
101	681685	681686	11	3	18	4	11	11	19	19	1.25653931704051e-11	-75.8620689655172	hypometh
101	734596	734597	10	4	22	12	16	0	17	0	1.10102192030226e-07	50	hypermeth
101	734608	734609	10	6	22	14	16	0	17	0	7.44124761808962e-10	62.5	hypermeth
101	734675	734676	10	8	22	19	16	0	17	1	5.11812814352197e-13	81.344696969697	hypermeth
101	734691	734692	10	4	22	11	16	0	17	0	3.43154783033484e-07	46.875	hypermeth
101	811464	811465	11	3	14	2	13	7	21	21	8.4570688851926e-07	-62.3529411764706	hypometh
101	811474	811475	11	9	14	8	13	13	21	21	8.3001440236985e-05	-32	hypometh
101	859529	859530	11	9	11	10	15	11	12	4	0.0165551594674803	30.8080808080808	hypermeth
101	859552	859553	22	19	23	20	16	14	26	8	0.000375447144122409	34.2857142857143	hypermeth
101	859561	859562	22	21	23	23	16	14	27	12	2.92568267934445e-06	37.312661498708	hypermeth
101	859597	859598	22	18	23	20	16	13	27	9	0.000659963105201333	33.28165374677	hypermeth
101	859611	859612	23	18	22	21	21	17	25	10	0.00230864634085592	27.9710144927536	hypermeth
101	875150	875151	15	8	20	8	23	22	23	23	1.10530763430816e-08	-52.111801242236	hypometh
101	886783	886784	16	0	23	0	10	9	20	20	0	-96.6666666666667	hypometh
101	886821	886822	16	0	23	0	10	10	20	20	0	-100	hypometh
101	933173	933174	17	0	21	1	12	11	18	18	0	-94.0350877192982	hypometh
101	933202	933203	21	0	25	1	22	21	32	31	0	-94.122383252818	hypometh
101	933210	933211	21	0	25	1	22	21	32	31	0	-94.122383252818	hypometh
101	933235	933236	21	0	25	1	22	20	32	32	0	-94.122383252818	hypometh
101	1291139	1291140	15	1	10	2	16	15	16	16	1.85040871514275e-12	-84.875	hypometh
101	1291148	1291149	14	0	18	3	19	19	27	27	0	-90.625	hypometh
101	1291176	1291177	14	1	18	1	19	17	27	27	0	-89.4021739130435	hypometh
101	1291218	1291219	13	0	17	1	18	18	27	27	0	-96.6666666666667	hypometh
101	1565248	1565249	15	12	16	10	14	14	12	12	0.000436005242543391	-29.0322580645161	hypometh
101	1568670	1568671	15	6	11	11	15	0	20	6	9.54057579308776e-05	48.2417582417582	hypermeth
101	1591127	1591128	11	10	16	16	10	0	13	0	6.66133814775094e-15	96.2962962962963	hypermeth
101	1591159	1591160	13	5	16	5	12	0	14	0	0.000120008715488007	34.4827586206897	hypermeth
101	1735968	1735969	12	1	32	4	20	20	21	20	0	-86.1973392461197	hypometh
101	1735983	1735984	12	1	32	6	20	20	21	20	1.11022302462516e-16	-81.6518847006652	hypometh
101	1735999	1736000	12	2	32	8	20	20	21	20	1.92068583260152e-14	-74.8337028824834	hypometh
101	1736003	1736004	12	1	32	5	20	19	21	20	3.33066907387547e-16	-81.4855875831486	hypometh
101	1736059	1736060	12	3	25	6	20	20	14	13	1.20957688309886e-11	-72.7344992050874	hypometh
101	1736091	1736092	20	8	28	12	19	19	15	13	1.75533246382642e-07	-52.4509803921569	hypometh
101	1736199	1736200	14	4	16	5	11	11	24	23	9.29460841625485e-10	-67.1428571428571	hypometh
101	1744122	1744123	14	13	15	12	16	3	19	4	3.46909277970653e-08	66.2068965517241	hypermeth
101	1744141	1744142	14	10	15	12	16	5	19	2	4.41239355597478e-06	55.8620689655172	hypermeth
101	1744163	1744164	14	14	15	15	16	11	19	10	7.2341043085844e-06	40	hypermeth
101	1770144	1770145	17	11	22	18	32	1	34	2	8.10462807976364e-15	69.8135198135198	hypermeth
101	1770166	1770167	14	9	20	9	16	0	18	0	1.91285117745466e-08	52.9411764705882	hypermeth
101	1770176	1770177	14	9	20	8	16	0	18	0	6.06172753103706e-08	50	hypermeth
101	1770251	1770252	14	8	20	7	16	2	18	0	0.000132743822365278	38.2352941176471	hypermeth
101	1770278	1770279	14	3	20	7	16	0	18	0	7.84316370867622e-05	29.4117647058824	hypermeth
101	1770644	1770645	20	17	20	17	14	10	29	7	1.21182054836355e-05	45.4651162790698	hypermeth
101	1787140	1787141	13	0	24	1	16	16	25	24	0	-94.8582729070534	hypometh
101	1787236	1787237	13	0	24	0	15	15	25	24	0	-97.5	hypometh
101	1787260	1787261	13	0	24	1	16	16	25	25	0	-97.2972972972973	hypometh
101	1801803	1801804	19	11	31	25	20	8	32	15	0.00420514189793375	27.7692307692308	hypermeth
101	1801823	1801824	19	19	31	28	20	8	32	16	2.84473504752469e-08	47.8461538461538	hypermeth
101	1801851	1801852	19	19	31	30	20	8	32	18	1.96829230691975e-09	48	hypermeth
101	1801867	1801868	19	19	31	30	20	10	32	17	5.54618517778493e-09	46.0769230769231	hypermeth
101	1805044	1805045	16	0	25	4	12	12	34	33	0	-88.0699893955461	hypometh
101	1811616	1811617	10	6	15	9	11	11	15	15	4.08599260335318e-05	-40	hypometh
101	1811622	1811623	23	11	33	21	24	24	29	29	5.67289992758901e-10	-42.8571428571429	hypometh
101	1811641	1811642	23	11	33	19	24	22	29	28	3.62764141059735e-07	-40.7681940700809	hypometh
101	1811671	1811672	23	11	33	19	24	24	29	29	7.36802840961559e-11	-46.4285714285714	hypometh
101	1811676	1811677	23	17	33	23	24	24	29	28	2.95321939093318e-05	-26.6846361185984	hypometh
101	1811702	1811703	13	9	19	12	13	13	14	14	7.92137361408374e-05	-34.375	hypometh
101	1821173	1821174	14	0	20	5	24	14	21	4	0.0118404219195524	-25.2941176470588	hypometh
101	1821247	1821248	14	1	20	3	24	15	21	3	0.00405799481936386	-28.2352941176471	hypometh
101	1821869	1821870	18	6	33	15	19	0	16	1	9.45465660018296e-06	38.3193277310924	hypermeth
101	1828504	1828505	12	5	19	10	11	0	29	0	3.74582372897336e-08	48.3870967741936	hypermeth
101	1828515	1828516	12	2	19	8	11	0	29	1	0.000330803660526291	29.758064516129	hypermeth
101	1830137	1830138	21	3	29	8	18	12	25	14	0.000132038749697916	-38.4651162790698	hypometh
101	1831493	1831494	20	12	33	16	17	16	14	14	3.01694605298053e-06	-43.9440048691418	hypometh
101	1937623	1937624	11	8	14	11	14	2	13	1	7.5840891344825e-07	64.8888888888889	hypermeth
101	1937634	1937635	22	21	22	19	28	5	31	7	5.99520433297585e-14	70.5701078582434	hypermeth
101	1937669	1937670	22	15	22	19	28	4	31	5	7.40837391433047e-11	62.0184899845917	hypermeth
101	1937682	1937683	22	21	22	21	27	5	31	4	0	79.9373040752351	hypermeth
101	1937709	1937710	22	20	22	21	28	7	31	6	2.12052597703405e-14	71.1479198767334	hypermeth
101	1937717	1937718	22	22	22	20	28	5	31	4	0	80.2003081664099	hypermeth
101	1937729	1937730	19	17	13	13	23	3	24	4	1.41997524849558e-13	78.8563829787234	hypermeth
101	1988389	1988390	10	8	44	44	28	2	34	0	0	93.0704898446834	hypermeth
101	1988405	1988406	10	10	44	43	28	0	34	1	0	96.5352449223417	hypermeth
