Chromosome	DMR start	DMR end	DMR length	Methylation state for Condition_A	List of DMCs	Number of DMCs
1	933202	933235	33	hypometh	933202,933210,933235	3
1	2343120	2343174	54	hypermeth	2343120,2343126,2343139,2343150,2343164,2343174	6
1	3721792	3721843	51	hypermeth	3721792,3721799,3721825,3721833,3721843	5
1	3753424	3753458	34	hypermeth	3753424,3753444,3753452,3753458	4
1	5036180	5036281	101	hypermeth	5036180,5036214,5036219,5036246,5036250,5036256,5036277,5036281	8
1	5233914	5233961	47	hypermeth	5233914,5233925,5233936,5233961	4
1	5236436	5236472	36	hypermeth	5236436,5236461,5236472	3
1	5242786	5242822	36	hypermeth	5242786,5242797,5242822	3
1	5245198	5245225	27	hypermeth	5245198,5245218,5245225	3
1	5246337	5246442	105	hypermeth	5246337,5246411,5246442	3
1	5247881	5248000	119	hypermeth	5247881,5247893,5247922,5247938,5247945,5247949,5247980,5247987,5248000	9
1	5253420	5253569	149	hypermeth	5253420,5253449,5253461,5253490,5253507,5253514,5253518,5253549,5253556,5253569	10
1	5255512	5255595	83	hypermeth	5255512,5255555,5255564,5255595	4
1	5258256	5258376	120	hypermeth	5258256,5258268,5258297,5258314,5258321,5258325,5258356,5258363,5258376	9
1	5260436	5260543	107	hypermeth	5260436,5260448,5260477,5260494,5260501,5260505,5260536,5260543	8
1	5261615	5261698	83	hypermeth	5261615,5261658,5261667,5261698	4
1	5262337	5262377	40	hypermeth	5262337,5262346,5262377	3
1	5266988	5267056	68	hypermeth	5266988,5266996,5267056	3
1	5268468	5268575	107	hypermeth	5268468,5268480,5268509,5268526,5268537,5268568,5268575	7
1	5269214	5269320	106	hypermeth	5269214,5269225,5269250,5269290,5269320	5
1	5272199	5272306	107	hypermeth	5272199,5272211,5272240,5272257,5272264,5272268,5272299,5272306	8
1	5274114	5274161	47	hypermeth	5274114,5274125,5274161	3
1	5277957	5278065	108	hypermeth	5277957,5277969,5277998,5278015,5278022,5278026,5278058,5278065	8
1	5279000	5279103	103	hypermeth	5279000,5279023,5279103	3
1	5279728	5279834	106	hypermeth	5279728,5279739,5279764,5279834	4
1	5282344	5282674	330	hypermeth	5282344,5282396,5282427,5282480,5282488,5282507,5282517,5282525,5282566,5282595,5282612,5282619,5282623,5282654,5282661,5282674	16
1	5283857	5283897	40	hypermeth	5283857,5283866,5283897	3
1	5285986	5286072	86	hypermeth	5285986,5286029,5286038,5286069,5286072	5
1	5287611	5287651	40	hypermeth	5287611,5287620,5287651	3
1	5289851	5289887	36	hypermeth	5289851,5289862,5289887	3
1	5291156	5291264	108	hypermeth	5291156,5291167,5291197,5291204,5291228,5291264	6
1	5292011	5292082	71	hypermeth	5292011,5292022,5292029,5292082	4
1	5292187	5292247	60	hypermeth	5292187,5292204,5292247	3
1	6415072	6415154	82	hypermeth	6415072,6415093,6415154	3
1	11270299	11270368	69	hypermeth	11270299,11270316,11270331,11270368	4
1	11270480	11270534	54	hypermeth	11270480,11270514,11270527,11270530,11270534	5
1	11272865	11272919	54	hypermeth	11272865,11272869,11272872,11272885,11272919	5
1	11273031	11273100	69	hypermeth	11273031,11273068,11273083,11273100	4
1	11273679	11273784	105	hypermeth	11273679,11273685,11273716,11273738,11273742,11273758,11273768,11273784	8
1	11273905	11274006	101	hypermeth	11273905,11273937,11273942,11273964,11273979,11274006	6
1	11274125	11274179	54	hypermeth	11274125,11274129,11274132,11274145,11274179	5
1	11274291	11274716	425	hypermeth	11274291,11274328,11274343,11274364,11274370,11274401,11274423,11274427,11274443,11274453,11274469,11274523,11274622,11274627,11274649,11274664,11274691,11274716	18
1	13546940	13547019	79	hypermeth	13546940,13546961,13546978,13546989,13547019	5
1	13548041	13548088	47	hypermeth	13548041,13548066,13548077,13548088	4
1	13548248	13548381	133	hypermeth	13548248,13548263,13548277,13548285,13548297,13548300,13548308,13548326,13548338,13548369,13548381	11
1	13549455	13549549	94	hypermeth	13549455,13549462,13549492,13549503,13549520,13549541,13549549	7
1	13552337	13552438	101	hypermeth	13552337,13552345,13552376,13552388,13552428,13552438	6
1	21932024	21932130	106	hypermeth	21932024,21932036,21932044,21932065,21932082,21932089,21932093,21932123,21932130	9
1	22412208	22412324	116	hypermeth	22412208,22412244,22412271,22412298,22412324	5
1	29209748	29209867	119	hypermeth	29209748,29209760,29209789,29209806,29209813,29209817,29209847,29209854,29209867	9
1	29210967	29211010	43	hypermeth	29210967,29210979,29211010	3
1	29319289	29319382	93	hypermeth	29319289,29319300,29319382	3
1	34830636	34830743	107	hypermeth	34830636,34830648,34830677,34830694,34830701,34830705,34830736,34830743	8
1	34832083	34832182	99	hypermeth	34832083,34832087,34832123,34832135,34832146,34832157,34832182	7
1	34922368	34922485	117	hypermeth	34922368,34922438,34922463,34922474,34922485	5
1	37691029	37691109	80	hypermeth	37691029,37691040,37691045,37691050,37691059,37691063,37691072,37691081,37691085,37691092,37691109	11
1	43647948	43648003	55	hypermeth	43647948,43647954,43647964,43647967,43647970,43647992,43647998,43648003	8
