Chromosome	DMR start	DMR end	DMR length	Methylation state for Condition_A	List of DMCs	Number of DMCs
1	178480	178595	115	hypermeth	178480,178484,178489,178492,178525,178528,178531,178540,178545,178549,178553,178595	12
1	681616	681685	69	hypometh	681616,681628,681641,681685	4
1	734596	734691	95	hypermeth	734596,734608,734675,734691	4
1	859529	859611	82	hypermeth	859529,859552,859561,859597,859611	5
1	933173	933235	62	hypometh	933173,933202,933210,933235	4
1	1291139	1291218	79	hypometh	1291139,1291148,1291176,1291218	4
1	1735968	1736091	123	hypometh	1735968,1735983,1735999,1736003,1736059,1736091	6
1	1744122	1744163	41	hypermeth	1744122,1744141,1744163	3
1	1770144	1770278	134	hypermeth	1770144,1770166,1770176,1770251,1770278	5
1	1787140	1787260	120	hypometh	1787140,1787236,1787260	3
1	1801803	1801867	64	hypermeth	1801803,1801823,1801851,1801867	4
1	1811616	1811702	86	hypometh	1811616,1811622,1811641,1811671,1811676,1811702	6
1	1937623	1937729	106	hypermeth	1937623,1937634,1937669,1937682,1937709,1937717,1937729	7
1	2206236	2206324	88	hypermeth	2206236,2206256,2206262,2206295,2206305,2206311,2206324	7
1	2230726	2230862	136	hypometh	2230726,2230751,2230758,2230775,2230834,2230862	6
1	2343120	2343174	54	hypermeth	2343120,2343126,2343139,2343150,2343164,2343174	6
1	2453884	2453990	106	hypermeth	2453884,2453899,2453920,2453954,2453974,2453981,2453984,2453990	8
1	2457547	2457620	73	hypermeth	2457547,2457569,2457605,2457617,2457620	5
1	2457772	2457822	50	hypermeth	2457772,2457792,2457803,2457808,2457822	5
1	2739338	2739467	129	hypometh	2739338,2739407,2739423,2739467	4
1	3356056	3356135	79	hypermeth	3356056,3356061,3356091,3356135	4
1	3579488	3579619	131	hypometh	3579488,3579583,3579589,3579619	4
1	3721792	3721843	51	hypermeth	3721792,3721799,3721825,3721833,3721843	5
1	3753394	3753466	72	hypermeth	3753394,3753424,3753444,3753452,3753458,3753466	6
1	4713095	4713156	61	hypermeth	4713095,4713109,4713156	3
1	5036157	5036281	124	hypermeth	5036157,5036162,5036180,5036214,5036219,5036246,5036250,5036256,5036277,5036281	10
1	5048713	5048747	34	hypermeth	5048713,5048719,5048727,5048747	4
1	5233914	5234031	117	hypermeth	5233914,5233925,5233936,5233961,5234001,5234005,5234031	7
1	5235177	5235402	225	hypermeth	5235177,5235206,5235223,5235230,5235234,5235265,5235272,5235285,5235296,5235307,5235332,5235402	12
1	5236436	5236472	36	hypermeth	5236436,5236461,5236472	3
1	5238655	5238772	117	hypermeth	5238655,5238666,5238677,5238702,5238746,5238772	6
1	5239704	5239809	105	hypermeth	5239704,5239726,5239769,5239778,5239809	5
1	5241161	5241201	40	hypermeth	5241161,5241170,5241201	3
1	5242448	5242531	83	hypermeth	5242448,5242500,5242531	3
1	5242775	5242892	117	hypermeth	5242775,5242786,5242797,5242822,5242892	5
1	5243898	5244028	130	hypermeth	5243898,5243929,5243967,5243982,5243990,5243994,5244002,5244009,5244019,5244028	10
1	5245169	5245225	56	hypermeth	5245169,5245178,5245198,5245214,5245218,5245225	6
1	5246327	5246442	115	hypermeth	5246327,5246337,5246411,5246442	4
1	5247785	5248000	215	hypermeth	5247785,5247881,5247893,5247922,5247938,5247945,5247949,5247980,5247987,5248000	10
1	5250158	5250264	106	hypermeth	5250158,5250169,5250194,5250234,5250238,5250264	6
1	5253420	5253569	149	hypermeth	5253420,5253449,5253461,5253490,5253507,5253514,5253518,5253549,5253556,5253569	10
1	5254135	5254338	203	hypermeth	5254135,5254178,5254187,5254218,5254316,5254338	6
1	5254464	5254551	87	hypermeth	5254464,5254475,5254486,5254511,5254551	5
1	5255368	5255595	227	hypermeth	5255368,5255388,5255412,5255429,5255455,5255472,5255480,5255512,5255555,5255564,5255595	11
1	5256178	5256230	52	hypermeth	5256178,5256218,5256221,5256230	4
1	5257947	5258129	182	hypermeth	5257947,5257964,5257990,5258007,5258089,5258098,5258129	7
1	5258256	5258376	120	hypermeth	5258256,5258268,5258297,5258314,5258321,5258325,5258356,5258363,5258376	9
1	5260436	5260673	237	hypermeth	5260436,5260448,5260477,5260494,5260501,5260505,5260536,5260543,5260556,5260567,5260578,5260603,5260643,5260647,5260673	15
1	5261515	5261698	183	hypermeth	5261515,5261532,5261558,5261575,5261583,5261615,5261658,5261667,5261698	9
1	5262272	5262377	105	hypermeth	5262272,5262294,5262337,5262346,5262377	5
1	5264272	5264355	83	hypermeth	5264272,5264324,5264355	3
1	5265461	5265544	83	hypermeth	5265461,5265475,5265513,5265544	4
1	5266965	5267063	98	hypermeth	5266965,5266973,5266988,5266996,5267015,5267025,5267033,5267056,5267063	9
1	5267194	5267230	36	hypermeth	5267194,5267205,5267230	3
1	5268258	5268588	330	hypermeth	5268258,5268301,5268310,5268341,5268349,5268379,5268394,5268402,5268421,5268431,5268461,5268468,5268480,5268509,5268526,5268537,5268568,5268575,5268588	19
1	5269083	5269320	237	hypermeth	5269083,5269162,5269214,5269225,5269250,5269290,5269320	7
1	5272032	5272072	40	hypermeth	5272032,5272041,5272072	3
1	5272199	5272306	107	hypermeth	5272199,5272211,5272240,5272257,5272264,5272268,5272299,5272306	8
1	5272600	5272768	168	hypermeth	5272600,5272612,5272659,5272666,5272670,5272708,5272721,5272732,5272743,5272768	10
1	5274114	5274161	47	hypermeth	5274114,5274125,5274136,5274161	4
1	5275429	5275490	61	hypermeth	5275429,5275442,5275449,5275470,5275473,5275480,5275490	7
1	5275656	5275697	41	hypermeth	5275656,5275659,5275661,5275666,5275677,5275697	6
1	5277725	5277830	105	hypermeth	5277725,5277747,5277790,5277799,5277830	5
1	5277957	5278078	121	hypermeth	5277957,5277969,5277998,5278015,5278022,5278026,5278058,5278065,5278078	9
1	5279000	5279103	103	hypermeth	5279000,5279006,5279023,5279035,5279103	5
1	5279430	5279470	40	hypermeth	5279430,5279439,5279470	3
1	5279728	5279834	106	hypermeth	5279728,5279739,5279764,5279804,5279808,5279834	6
1	5282344	5282674	330	hypermeth	5282344,5282387,5282396,5282427,5282480,5282488,5282494,5282507,5282517,5282525,5282554,5282566,5282595,5282612,5282619,5282623,5282654,5282661,5282674	19
1	5283814	5283897	83	hypermeth	5283814,5283857,5283866,5283897	4
1	5285986	5286072	86	hypermeth	5285986,5286029,5286038,5286069,5286072	5
1	5287568	5287651	83	hypermeth	5287568,5287611,5287620,5287651	4
1	5289623	5289691	68	hypermeth	5289623,5289631,5289646,5289654,5289673,5289683,5289691	7
1	5289851	5289957	106	hypermeth	5289851,5289862,5289887,5289927,5289931,5289957	6
1	5290931	5290971	40	hypermeth	5290931,5290940,5290971	3
1	5291098	5291264	166	hypermeth	5291098,5291110,5291139,5291156,5291160,5291163,5291167,5291197,5291204,5291228,5291239,5291264	12
1	5292011	5292082	71	hypermeth	5292011,5292022,5292029,5292082	4
1	5292187	5292247	60	hypermeth	5292187,5292204,5292230,5292247	4
1	5304849	5304954	105	hypermeth	5304849,5304861,5304880,5304885,5304911,5304923,5304925,5304935,5304942,5304954	10
1	5305677	5305747	70	hypermeth	5305677,5305686,5305730,5305747	4
1	6174028	6174160	132	hypermeth	6174028,6174045,6174050,6174053,6174062,6174070,6174073,6174080,6174091,6174098,6174102,6174107,6174114,6174117,6174122,6174128,6174137,6174160	18
1	6415041	6415162	121	hypermeth	6415041,6415046,6415072,6415082,6415093,6415134,6415147,6415154,6415162	9
1	6537538	6537657	119	hypermeth	6537538,6537553,6537562,6537565,6537630,6537638,6537645,6537653,6537657	9
1	7570510	7570551	41	hypermeth	7570510,7570523,7570551	3
1	7580077	7580137	60	hypermeth	7580077,7580082,7580137	3
1	8812602	8812652	50	hypermeth	8812602,8812628,8812631,8812642,8812652	5
1	9195701	9195751	50	hypometh	9195701,9195743,9195751	3
1	11269967	11270068	101	hypermeth	11269967,11269994,11270009,11270031,11270036,11270068	6
1	11270299	11270368	69	hypermeth	11270299,11270316,11270331,11270368	4
1	11270480	11270553	73	hypermeth	11270480,11270514,11270527,11270530,11270534,11270553	6
1	11272526	11272574	48	hypermeth	11272526,11272543,11272574	3
1	11272865	11272919	54	hypermeth	11272865,11272869,11272872,11272885,11272919	5
1	11273031	11273100	69	hypermeth	11273031,11273068,11273083,11273100	4
1	11273679	11273784	105	hypermeth	11273679,11273685,11273716,11273738,11273742,11273758,11273768,11273784	8
1	11273905	11274179	274	hypermeth	11273905,11273937,11273942,11273964,11273979,11274006,11274031,11274125,11274129,11274132,11274145,11274179	12
1	11274291	11274716	425	hypermeth	11274291,11274328,11274343,11274364,11274370,11274401,11274423,11274427,11274443,11274453,11274469,11274520,11274523,11274545,11274552,11274590,11274622,11274627,11274649,11274664,11274691,11274716	22
1	13546920	13547086	166	hypermeth	13546920,13546932,13546940,13546961,13546978,13546985,13546989,13547019,13547026,13547039,13547050,13547086	12
1	13548041	13548381	340	hypermeth	13548041,13548066,13548077,13548088,13548143,13548150,13548154,13548170,13548199,13548248,13548263,13548277,13548285,13548297,13548300,13548308,13548326,13548338,13548369,13548381	20
1	13549442	13549561	119	hypermeth	13549442,13549455,13549462,13549492,13549496,13549503,13549520,13549541,13549549,13549561	10
1	13549680	13549793	113	hypermeth	13549680,13549688,13549719,13549771,13549793	5
1	13552146	13552206	60	hypermeth	13552146,13552150,13552157,13552161,13552177,13552206	6
1	13552337	13552438	101	hypermeth	13552337,13552345,13552376,13552388,13552428,13552438	6
1	13552715	13552812	97	hypermeth	13552715,13552783,13552795,13552812	4
1	15366337	15366383	46	hypermeth	15366337,15366348,15366383	3
1	16242706	16242917	211	hypermeth	16242706,16242788,16242851,16242863,16242889,16242917	6
1	16722271	16722399	128	hypermeth	16722271,16722285,16722306,16722344,16722399	5
1	21094728	21094775	47	hypermeth	21094728,21094731,21094742,21094775	4
1	21930060	21930111	51	hypermeth	21930060,21930066,21930076,21930102,21930111	5
1	21932024	21932143	119	hypermeth	21932024,21932036,21932044,21932065,21932082,21932089,21932093,21932123,21932130,21932143	10
1	22412156	22412324	168	hypermeth	22412156,22412208,22412221,22412244,22412271,22412298,22412324	7
1	24749998	24750064	66	hypermeth	24749998,24750017,24750023,24750039,24750046,24750064	6
1	26473994	26474225	231	hypermeth	26473994,26474007,26474037,26474055,26474111,26474150,26474156,26474163,26474218,26474225	10
1	29209748	29209914	166	hypermeth	29209748,29209760,29209789,29209806,29209813,29209817,29209847,29209854,29209867,29209878,29209889,29209914	12
1	29210967	29211010	43	hypermeth	29210967,29210979,29211010	3
1	29318533	29318571	38	hypermeth	29318533,29318539,29318542,29318553,29318571	5
1	29319289	29319390	101	hypermeth	29319289,29319300,29319382,29319390	4
1	31243204	31243254	50	hypermeth	31243204,31243207,31243243,31243254	4
1	32837069	32837174	105	hypermeth	32837069,32837080,32837094,32837134,32837146,32837174	6
1	32837312	32837366	54	hypermeth	32837312,32837326,32837329,32837339,32837346,32837350,32837354,32837360,32837366	9
1	33691386	33691534	148	hypermeth	33691386,33691427,33691478,33691499,33691508,33691518,33691521,33691531,33691534	9
1	34004260	34004319	59	hypermeth	34004260,34004267,34004290,34004319	4
1	34830636	34830743	107	hypermeth	34830636,34830648,34830677,34830694,34830701,34830705,34830736,34830743	8
1	34832083	34832391	308	hypermeth	34832083,34832087,34832116,34832123,34832135,34832146,34832157,34832182,34832222,34832226,34832252,34832312,34832350,34832391	14
1	34922368	34922485	117	hypermeth	34922368,34922394,34922398,34922438,34922463,34922474,34922485	7
1	37691029	37691283	254	hypermeth	37691029,37691037,37691040,37691045,37691050,37691059,37691063,37691072,37691081,37691085,37691092,37691109,37691182,37691242,37691246,37691283	16
1	41699102	41699188	86	hypermeth	41699102,41699167,41699170,41699182,41699188	5
1	43647948	43648003	55	hypermeth	43647948,43647954,43647964,43647967,43647970,43647992,43647998,43648003	8
1	43648206	43648271	65	hypermeth	43648206,43648221,43648248,43648271	4
1	43714518	43714574	56	hypermeth	43714518,43714527,43714536,43714547,43714550,43714559,43714563,43714574	8
1	44536137	44536240	103	hypermeth	44536137,44536150,44536157,44536164,44536173,44536199,44536206,44536216,44536220,44536223,44536226,44536237,44536240	13
1	44661654	44661992	338	hypermeth	44661654,44661698,44661761,44661767,44661773,44661782,44661787,44661794,44661799,44661805,44661819,44661825,44661924,44661950,44661979,44661992	16
1	44799310	44799334	24	hypermeth	44799310,44799330,44799334	3
1	44841900	44841916	16	hypometh	44841900,44841913,44841916	3
1	44857702	44857793	91	hypermeth	44857702,44857728,44857775,44857793	4
1	44858068	44858136	68	hypermeth	44858068,44858087,44858131,44858136	4
1	44858920	44859089	169	hypermeth	44858920,44858925,44858973,44858980,44859049,44859067,44859089	7
1	44919711	44919776	65	hypermeth	44919711,44919733,44919743,44919759,44919768,44919776	6
1	44922550	44922641	91	hypermeth	44922550,44922560,44922568,44922572,44922576,44922589,44922599,44922613,44922626,44922641	10
