Ensembl Gene ID	Associated Gene Name	Description	Chromosome Name	Gene Start (bp)	Gene End (bp)	Strand
ENSBTAG00000018857			28	200775	243023	1
ENSBTAG00000008584			27	56120	111557	1
ENSBTAG00000018284	KBTBD11	kelch repeat and BTB domain containing 11 [Source:HGNC Symbol;Acc:HGNC:29104]	27	289081	291006	1
ENSBTAG00000009387	MYOM2	myomesin 2 [Source:HGNC Symbol;Acc:HGNC:7614]	27	312538	376193	1
ENSBTAG00000011032	MCPH1	microcephalin 1 [Source:HGNC Symbol;Acc:HGNC:6954]	27	4313369	4554747	1
ENSBTAG00000004922	AGPAT5	1-acylglycerol-3-phosphate O-acyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:20886]	27	4679600	4727246	1
ENSBTAG00000000942	SIPA1L2	signal induced proliferation associated 1 like 2 [Source:HGNC Symbol;Acc:HGNC:23800]	28	5250716	5367946	-1
ENSBTAG00000000535	PCNX2	pecanex homolog 2 (Drosophila) [Source:HGNC Symbol;Acc:HGNC:8736]	28	5915711	6227327	-1
ENSBTAG00000014146	SPCS3	signal peptidase complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:26212]	27	6752943	6759799	1
ENSBTAG00000021183		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:E1BFV2]	28	6242998	6298893	1
ENSBTAG00000020361	SLC35F3	solute carrier family 35 member F3 [Source:HGNC Symbol;Acc:HGNC:23616]	28	6762322	7195661	1
ENSBTAG00000000128	FGF18	fibroblast growth factor 18 [Source:HGNC Symbol;Acc:HGNC:3674]	20	3132655	3195021	1
ENSBTAG00000002908	GNG4	G protein subunit gamma 4 [Source:HGNC Symbol;Acc:HGNC:4407]	28	8340143	8408741	-1
ENSBTAG00000000957			27	13295340	13298891	1
ENSBTAG00000020568	NKX2-5	NK2 homeobox 5 [Source:HGNC Symbol;Acc:HGNC:2488]	20	4818457	4821534	-1
ENSBTAG00000000830	GPR137B	G protein-coupled receptor 137B  [Source:RefSeq peptide;Acc:NP_001178410]	28	8887739	8942109	1
ENSBTAG00000009995	CPEB4	cytoplasmic polyadenylation element binding protein 4 [Source:HGNC Symbol;Acc:HGNC:21747]	20	5512161	5584540	1
