Chromosome	Start	End	CovA1	FreqCA1	CovA2	FreqCA2	CovB1	FreqCB1	CovB2	FreqCB2	Methyl diff	Methylation state in Condition_A
1	886821	886822	16	0	23	0	10	10	20	20	-100.0	hypometh
1	2343120	2343121	17	17	24	24	23	0	35	0	100.0	hypermeth
1	2343139	2343140	17	17	24	24	23	0	35	0	100.0	hypermeth
1	2343150	2343151	17	17	24	24	23	0	35	0	100.0	hypermeth
1	2343174	2343175	17	17	24	24	23	0	35	0	100.0	hypermeth
1	2739338	2739339	10	0	18	0	11	11	18	18	-100.0	hypometh
1	5036180	5036181	15	15	20	20	26	0	27	0	100.0	hypermeth
1	5036281	5036282	11	11	12	12	17	0	17	0	100.0	hypermeth
1	6174114	6174115	14	14	13	13	23	0	33	0	100.0	hypermeth
1	16722285	16722286	19	19	18	18	32	0	36	0	100.0	hypermeth
1	33691534	33691535	17	17	15	15	17	0	20	0	100.0	hypermeth
1	34683711	34683712	10	10	18	18	17	0	23	0	100.0	hypermeth
1	34683717	34683718	10	10	18	18	17	0	23	0	100.0	hypermeth
1	37691029	37691030	15	15	14	14	31	0	26	0	100.0	hypermeth
1	37691040	37691041	15	15	15	15	31	0	26	0	100.0	hypermeth
1	37691059	37691060	15	15	15	15	31	0	26	0	100.0	hypermeth
1	37691063	37691064	15	15	15	15	31	0	26	0	100.0	hypermeth
1	37691081	37691082	15	15	15	15	31	0	25	0	100.0	hypermeth
1	37691085	37691086	15	15	15	15	30	0	26	0	100.0	hypermeth
1	37691092	37691093	15	15	15	15	31	0	26	0	100.0	hypermeth
1	41699182	41699183	10	10	19	19	13	0	37	0	100.0	hypermeth
1	43647948	43647949	14	14	13	13	13	0	22	0	100.0	hypermeth
1	43647954	43647955	12	12	18	18	28	0	38	0	100.0	hypermeth
1	43647998	43647999	12	12	18	18	28	0	38	0	100.0	hypermeth
1	43648003	43648004	12	12	18	18	28	0	38	0	100.0	hypermeth
1	43714574	43714575	15	15	12	12	10	0	14	0	100.0	hypermeth
1	44858925	44858926	21	21	15	15	15	0	15	0	100.0	hypermeth
1	44922641	44922642	14	14	23	23	17	0	36	0	100.0	hypermeth
1	47068793	47068794	13	13	27	27	23	0	25	0	100.0	hypermeth
1	47068939	47068940	20	20	19	19	26	0	23	0	100.0	hypermeth
1	47068983	47068984	15	15	13	13	25	0	24	0	100.0	hypermeth
1	47069322	47069323	14	14	17	17	11	0	19	0	100.0	hypermeth
1	56720274	56720275	20	0	29	0	24	24	34	34	-100.0	hypometh
1	56720284	56720285	20	0	29	0	24	24	34	34	-100.0	hypometh
1	57853046	57853047	22	22	21	21	16	0	30	0	100.0	hypermeth
1	57853163	57853164	11	11	14	14	11	0	12	0	100.0	hypermeth
1	57853200	57853201	11	11	13	13	11	0	12	0	100.0	hypermeth
1	57853230	57853231	11	11	14	14	11	0	12	0	100.0	hypermeth
1	58775458	58775459	12	12	31	31	25	0	34	0	100.0	hypermeth
1	59432682	59432683	14	14	19	19	35	0	37	0	100.0	hypermeth
1	59433020	59433021	14	14	18	18	16	0	19	0	100.0	hypermeth
1	59433034	59433035	14	14	18	18	16	0	19	0	100.0	hypermeth
1	59433584	59433585	17	17	15	15	19	0	12	0	100.0	hypermeth
1	59433627	59433628	14	14	10	10	17	0	10	0	100.0	hypermeth
1	67342451	67342452	14	14	10	10	10	0	10	0	100.0	hypermeth
1	69936363	69936364	23	0	17	0	13	13	13	13	-100.0	hypometh
1	70103302	70103303	14	0	20	0	13	13	11	11	-100.0	hypometh
1	71396919	71396920	15	15	12	12	25	0	12	0	100.0	hypermeth
1	73105066	73105067	14	14	22	22	33	0	31	0	100.0	hypermeth
1	73829908	73829909	15	0	21	0	18	18	13	13	-100.0	hypometh
1	73840456	73840457	14	14	15	15	25	0	26	0	100.0	hypermeth
1	73840627	73840628	14	14	14	14	13	0	11	0	100.0	hypermeth
1	73871357	73871358	16	0	26	0	22	22	10	10	-100.0	hypometh
1	73871371	73871372	19	0	32	0	22	22	22	22	-100.0	hypometh
1	80225405	80225406	17	17	16	16	28	0	37	0	100.0	hypermeth
1	80225415	80225416	17	17	16	16	28	0	37	0	100.0	hypermeth
1	82271035	82271036	12	12	13	13	18	0	12	0	100.0	hypermeth
1	83442084	83442085	11	11	17	17	24	0	20	0	100.0	hypermeth
1	98346600	98346601	18	18	29	29	34	0	33	0	100.0	hypermeth
1	104146803	104146804	12	12	15	15	10	0	15	0	100.0	hypermeth
1	108377239	108377240	15	0	20	0	14	14	14	14	-100.0	hypometh
1	117253875	117253876	11	11	15	15	16	0	12	0	100.0	hypermeth
1	117253917	117253918	11	11	15	15	16	0	12	0	100.0	hypermeth
1	119307870	119307871	14	0	12	0	10	10	11	11	-100.0	hypometh
1	127042748	127042749	10	10	16	16	17	0	23	0	100.0	hypermeth
1	128660002	128660003	11	0	13	0	14	14	10	10	-100.0	hypometh
1	128660089	128660090	14	0	35	0	26	26	22	22	-100.0	hypometh
1	128900865	128900866	14	14	17	17	18	0	20	0	100.0	hypermeth
1	128900893	128900894	19	19	17	17	10	0	21	0	100.0	hypermeth
1	128900924	128900925	19	19	17	17	10	0	21	0	100.0	hypermeth
1	128900927	128900928	19	19	17	17	10	0	21	0	100.0	hypermeth
1	128900982	128900983	19	19	17	17	10	0	21	0	100.0	hypermeth
1	128901316	128901317	13	13	14	14	20	0	28	0	100.0	hypermeth
1	128901340	128901341	13	13	14	14	21	0	28	0	100.0	hypermeth
1	128901351	128901352	13	13	14	14	21	0	28	0	100.0	hypermeth
1	132326198	132326199	20	20	25	25	29	0	20	0	100.0	hypermeth
1	138622394	138622395	15	15	14	14	16	0	10	0	100.0	hypermeth
1	138652744	138652745	15	15	29	29	34	0	49	0	100.0	hypermeth
1	138652749	138652750	15	15	29	29	34	0	49	0	100.0	hypermeth
1	138815288	138815289	10	10	16	16	20	0	24	0	100.0	hypermeth
1	141349800	141349801	13	13	10	10	12	0	14	0	100.0	hypermeth
1	141841247	141841248	12	12	21	21	12	0	25	0	100.0	hypermeth
1	143021248	143021249	15	15	20	20	25	0	36	0	100.0	hypermeth
1	143021293	143021294	15	15	20	20	25	0	36	0	100.0	hypermeth
1	143021382	143021383	18	18	18	18	25	0	30	0	100.0	hypermeth
1	143021418	143021419	18	18	18	18	24	0	30	0	100.0	hypermeth
1	143021481	143021482	18	18	18	18	25	0	30	0	100.0	hypermeth
1	143585814	143585815	14	14	24	24	16	0	25	0	100.0	hypermeth
1	143585978	143585979	13	13	19	19	19	0	22	0	100.0	hypermeth
1	144895760	144895761	15	0	13	0	14	14	16	16	-100.0	hypometh
1	144895769	144895770	18	0	14	0	14	14	16	16	-100.0	hypometh
1	144895825	144895826	19	0	15	0	14	14	16	16	-100.0	hypometh
1	144896000	144896001	21	0	32	0	23	23	28	28	-100.0	hypometh
1	144896059	144896060	17	0	17	0	21	21	18	18	-100.0	hypometh
1	144900928	144900929	15	0	11	0	11	11	17	17	-100.0	hypometh
1	144960139	144960140	19	0	23	0	15	15	26	26	-100.0	hypometh
1	144960169	144960170	19	0	23	0	15	15	26	26	-100.0	hypometh
1	145054486	145054487	22	22	35	35	18	0	42	0	100.0	hypermeth
1	145106800	145106801	14	14	11	11	14	0	33	0	100.0	hypermeth
1	145106810	145106811	14	14	11	11	14	0	33	0	100.0	hypermeth
1	145107184	145107185	18	18	29	29	14	0	24	0	100.0	hypermeth
1	145107228	145107229	18	18	29	29	14	0	24	0	100.0	hypermeth
1	145107693	145107694	19	19	21	21	21	0	32	0	100.0	hypermeth
1	145107732	145107733	20	20	21	21	21	0	32	0	100.0	hypermeth
1	145107739	145107740	20	20	21	21	21	0	31	0	100.0	hypermeth
1	145108176	145108177	17	17	27	27	42	0	37	0	100.0	hypermeth
1	145108188	145108189	17	17	27	27	42	0	37	0	100.0	hypermeth
1	145162906	145162907	21	0	17	0	14	14	17	17	-100.0	hypometh
1	145466197	145466198	10	10	21	21	16	0	21	0	100.0	hypermeth
1	145714942	145714943	26	0	16	0	20	20	17	17	-100.0	hypometh
1	145838114	145838115	20	0	18	0	15	15	23	23	-100.0	hypometh
1	146132070	146132071	13	0	16	0	10	10	16	16	-100.0	hypometh
1	146147098	146147099	17	0	29	0	19	19	18	18	-100.0	hypometh
1	146321057	146321058	22	0	23	0	16	16	35	35	-100.0	hypometh
1	146321060	146321061	22	0	23	0	16	16	35	35	-100.0	hypometh
1	146436150	146436151	18	18	16	16	21	0	22	0	100.0	hypermeth
1	146436186	146436187	19	19	29	29	30	0	38	0	100.0	hypermeth
1	146735652	146735653	12	12	17	17	12	0	25	0	100.0	hypermeth
1	147038643	147038644	21	21	18	18	31	0	21	0	100.0	hypermeth
1	147058076	147058077	17	17	15	15	13	0	18	0	100.0	hypermeth
1	147058108	147058109	17	17	13	13	13	0	18	0	100.0	hypermeth
1	147058126	147058127	17	17	13	13	13	0	18	0	100.0	hypermeth
1	147058131	147058132	17	17	12	12	13	0	18	0	100.0	hypermeth
1	147127509	147127510	17	0	20	0	18	18	29	29	-100.0	hypometh
1	147406625	147406626	10	10	28	28	35	0	17	0	100.0	hypermeth
1	147406660	147406661	10	10	28	28	35	0	17	0	100.0	hypermeth
1	147564903	147564904	14	14	13	13	16	0	15	0	100.0	hypermeth
1	147564941	147564942	12	12	14	14	21	0	18	0	100.0	hypermeth
1	147564991	147564992	12	12	14	14	21	0	17	0	100.0	hypermeth
1	147565267	147565268	12	12	11	11	12	0	10	0	100.0	hypermeth
1	148678873	148678874	11	11	15	15	28	0	25	0	100.0	hypermeth
1	148678881	148678882	11	11	15	15	28	0	26	0	100.0	hypermeth
1	148678994	148678995	17	17	16	16	12	0	20	0	100.0	hypermeth
1	148679004	148679005	22	22	29	29	28	0	27	0	100.0	hypermeth
1	148679007	148679008	21	21	29	29	28	0	26	0	100.0	hypermeth
1	148679034	148679035	22	22	29	29	28	0	28	0	100.0	hypermeth
1	148679054	148679055	22	22	29	29	28	0	28	0	100.0	hypermeth
1	148947993	148947994	26	0	25	0	22	22	20	20	-100.0	hypometh
1	148948000	148948001	26	0	25	0	22	22	20	20	-100.0	hypometh
1	148948032	148948033	26	0	25	0	22	22	20	20	-100.0	hypometh
1	148948069	148948070	26	0	24	0	20	20	20	20	-100.0	hypometh
1	148948098	148948099	31	0	27	0	28	28	32	32	-100.0	hypometh
1	148948284	148948285	11	0	16	0	15	15	16	16	-100.0	hypometh
1	149837757	149837758	25	25	38	38	31	0	45	0	100.0	hypermeth
1	150029198	150029199	19	19	14	14	24	0	31	0	100.0	hypermeth
1	150513424	150513425	12	0	10	0	15	15	15	15	-100.0	hypometh
1	150513464	150513465	12	0	11	0	15	15	15	15	-100.0	hypometh
1	150685472	150685473	19	0	26	0	18	18	28	28	-100.0	hypometh
1	150724064	150724065	10	0	11	0	13	13	22	22	-100.0	hypometh
1	150836047	150836048	19	19	34	34	31	0	37	0	100.0	hypermeth
1	151165885	151165886	15	15	19	19	21	0	22	0	100.0	hypermeth
1	151165915	151165916	15	15	19	19	21	0	22	0	100.0	hypermeth
1	151451649	151451650	10	10	18	18	11	0	14	0	100.0	hypermeth
1	152381011	152381012	18	18	24	24	23	0	34	0	100.0	hypermeth
1	152381037	152381038	21	21	27	27	15	0	30	0	100.0	hypermeth
1	152381103	152381104	21	21	27	27	15	0	30	0	100.0	hypermeth
1	152454546	152454547	15	15	14	14	14	0	17	0	100.0	hypermeth
1	152454866	152454867	11	11	20	20	16	0	17	0	100.0	hypermeth
1	152514699	152514700	19	0	26	0	27	27	16	16	-100.0	hypometh
1	152515405	152515406	11	0	13	0	10	10	11	11	-100.0	hypometh
1	152515414	152515415	11	0	13	0	10	10	11	11	-100.0	hypometh
1	152515417	152515418	11	0	13	0	10	10	11	11	-100.0	hypometh
1	152515446	152515447	11	0	12	0	10	10	11	11	-100.0	hypometh
1	152515505	152515506	11	0	13	0	10	10	11	11	-100.0	hypometh
1	152515540	152515541	11	0	13	0	10	10	11	11	-100.0	hypometh
1	154064203	154064204	24	0	29	0	25	25	31	31	-100.0	hypometh
1	154064215	154064216	24	0	29	0	25	25	31	31	-100.0	hypometh
1	154064258	154064259	24	0	29	0	25	25	31	31	-100.0	hypometh
1	154064285	154064286	11	0	20	0	14	14	17	17	-100.0	hypometh
1	154222652	154222653	14	14	11	11	13	0	12	0	100.0	hypermeth
1	154222664	154222665	14	14	11	11	13	0	12	0	100.0	hypermeth
1	154223102	154223103	18	18	15	15	10	0	14	0	100.0	hypermeth
1	154223116	154223117	18	18	15	15	10	0	13	0	100.0	hypermeth
1	154223119	154223120	15	15	17	17	14	0	23	0	100.0	hypermeth
1	154960454	154960455	11	11	17	17	17	0	14	0	100.0	hypermeth
1	155161943	155161944	20	20	31	31	33	0	36	0	100.0	hypermeth
1	155162107	155162108	11	11	20	20	33	0	21	0	100.0	hypermeth
1	155162127	155162128	11	11	20	20	33	0	21	0	100.0	hypermeth
1	155182705	155182706	10	10	15	15	26	0	16	0	100.0	hypermeth
1	155182713	155182714	10	10	15	15	27	0	16	0	100.0	hypermeth
1	155182718	155182719	10	10	15	15	27	0	16	0	100.0	hypermeth
1	155338192	155338193	13	13	10	10	25	0	15	0	100.0	hypermeth
1	155338210	155338211	13	13	10	10	25	0	15	0	100.0	hypermeth
1	155338570	155338571	16	16	15	15	20	0	20	0	100.0	hypermeth
1	155406064	155406065	16	16	15	15	30	0	13	0	100.0	hypermeth
1	155406098	155406099	16	16	15	15	30	0	13	0	100.0	hypermeth
1	155406139	155406140	10	10	11	11	22	0	24	0	100.0	hypermeth
1	155406143	155406144	10	10	11	11	22	0	24	0	100.0	hypermeth
1	155406155	155406156	10	10	11	11	22	0	24	0	100.0	hypermeth
1	155406164	155406165	10	10	11	11	22	0	24	0	100.0	hypermeth
1	155406174	155406175	10	10	11	11	22	0	24	0	100.0	hypermeth
1	155406179	155406180	10	10	11	11	22	0	24	0	100.0	hypermeth
1	155688992	155688993	27	0	15	0	13	13	18	18	-100.0	hypometh
1	155705821	155705822	18	0	14	0	15	15	13	13	-100.0	hypometh
1	155741759	155741760	11	11	12	12	11	0	20	0	100.0	hypermeth
1	155741793	155741794	13	13	11	11	14	0	19	0	100.0	hypermeth
1	155741816	155741817	24	24	34	34	27	0	31	0	100.0	hypermeth
1	155741878	155741879	24	24	34	34	27	0	31	0	100.0	hypermeth
1	155752524	155752525	13	13	29	29	34	0	23	0	100.0	hypermeth
1	155752776	155752777	13	13	14	14	23	0	32	0	100.0	hypermeth
1	155752788	155752789	13	13	14	14	23	0	32	0	100.0	hypermeth
1	155752806	155752807	13	13	14	14	23	0	32	0	100.0	hypermeth
1	155752823	155752824	13	13	14	14	23	0	32	0	100.0	hypermeth
1	155752837	155752838	13	13	14	14	23	0	32	0	100.0	hypermeth
1	155752847	155752848	13	13	14	14	23	0	32	0	100.0	hypermeth
1	155775764	155775765	11	11	11	11	13	0	13	0	100.0	hypermeth
1	155775803	155775804	17	17	20	20	24	0	26	0	100.0	hypermeth
1	155775832	155775833	17	17	20	20	24	0	26	0	100.0	hypermeth
1	155775919	155775920	15	15	21	21	25	0	26	0	100.0	hypermeth
1	155775929	155775930	15	15	21	21	24	0	25	0	100.0	hypermeth
1	155775936	155775937	15	15	21	21	24	0	26	0	100.0	hypermeth
1	155775997	155775998	26	26	21	21	17	0	17	0	100.0	hypermeth
1	155801895	155801896	16	16	33	33	14	0	25	0	100.0	hypermeth
1	155801948	155801949	16	16	32	32	14	0	25	0	100.0	hypermeth
1	155802029	155802030	10	10	16	16	18	0	26	0	100.0	hypermeth
1	155802034	155802035	10	10	16	16	18	0	26	0	100.0	hypermeth
1	155802039	155802040	10	10	16	16	18	0	26	0	100.0	hypermeth
1	155802057	155802058	10	10	16	16	17	0	26	0	100.0	hypermeth
1	155802086	155802087	10	10	16	16	17	0	26	0	100.0	hypermeth
1	155802098	155802099	10	10	16	16	18	0	26	0	100.0	hypermeth
1	155802101	155802102	10	10	16	16	18	0	26	0	100.0	hypermeth
1	155802125	155802126	10	10	16	16	18	0	26	0	100.0	hypermeth
1	155802522	155802523	10	10	25	25	37	0	38	0	100.0	hypermeth
1	155802579	155802580	10	10	25	25	37	0	38	0	100.0	hypermeth
1	155817095	155817096	14	14	14	14	16	0	16	0	100.0	hypermeth
1	155817115	155817116	14	14	14	14	16	0	16	0	100.0	hypermeth
1	155817199	155817200	14	14	14	14	16	0	16	0	100.0	hypermeth
1	155817223	155817224	14	14	14	14	16	0	16	0	100.0	hypermeth
1	156640615	156640616	10	10	18	18	30	0	15	0	100.0	hypermeth
1	156640704	156640705	12	12	19	19	22	0	44	0	100.0	hypermeth
1	156640784	156640785	17	17	23	23	24	0	38	0	100.0	hypermeth
1	156640796	156640797	26	26	26	26	30	0	27	0	100.0	hypermeth
1	156640831	156640832	26	26	26	26	30	0	27	0	100.0	hypermeth
1	156685481	156685482	15	15	19	19	12	0	13	0	100.0	hypermeth
1	156685612	156685613	15	15	19	19	12	0	12	0	100.0	hypermeth
1	156685622	156685623	15	15	19	19	12	0	12	0	100.0	hypermeth
1	156685636	156685637	15	15	19	19	12	0	12	0	100.0	hypermeth
1	156849461	156849462	20	20	18	18	15	0	32	0	100.0	hypermeth
1	156849481	156849482	20	20	18	18	15	0	32	0	100.0	hypermeth
1	156900034	156900035	19	19	39	39	44	0	59	0	100.0	hypermeth
1	156900258	156900259	20	20	14	14	18	0	19	0	100.0	hypermeth
1	156963661	156963662	19	19	12	12	24	0	26	0	100.0	hypermeth
1	157171146	157171147	11	11	11	11	26	0	31	0	100.0	hypermeth
