chrBase	chr	base	strand	coverage	freqC	freqT
7.14899	7	14899	R	5	20.00	80.00
7.13891	7	13891	R	8	75.00	25.00
7.55686	7	55686	F	5	80.00	20.00
7.42132	7	42132	R	11	36.36	63.64
7.14725	7	14725	F	11	45.45	54.55
7.13343	7	13343	F	6	16.67	83.33
7.13834	7	13834	F	12	66.67	33.33
7.43439	7	43439	R	12	91.67	8.33
7.48073	7	48073	R	16	75.00	25.00
7.14509	7	14509	R	7	0.00	100.00
7.16819	7	16819	F	7	14.29	85.71
7.22235	7	22235	R	5	20.00	80.00
7.36547	7	36547	R	7	0.00	100.00
7.21655	7	21655	R	14	35.71	64.29
7.56112	7	56112	F	8	37.50	62.50
7.19863	7	19863	R	5	60.00	40.00
7.55235	7	55235	R	9	55.56	44.44
7.30603	7	30603	R	12	0.00	100.00
7.16682	7	16682	F	8	12.50	87.50
7.15884	7	15884	F	13	0.00	100.00
7.54511	7	54511	R	11	36.36	63.64
7.13503	7	13503	R	8	37.50	62.50
7.45413	7	45413	R	9	100.00	0.00
7.13362	7	13362	F	8	62.50	37.50
7.12321	7	12321	F	11	90.91	9.09
7.37492	7	37492	F	5	0.00	100.00
7.13538	7	13538	R	8	25.00	75.00
7.25669	7	25669	R	16	0.00	100.00
7.42202	7	42202	F	6	66.67	33.33
7.13621	7	13621	R	7	57.14	42.86
7.15174	7	15174	R	6	0.00	100.00
7.35929	7	35929	F	5	0.00	100.00
7.27479	7	27479	R	8	87.50	12.50
7.16536	7	16536	F	11	18.18	81.82
7.44113	7	44113	R	11	27.27	72.73
7.16458	7	16458	F	9	22.22	77.78
7.54929	7	54929	R	5	80.00	20.00
7.14786	7	14786	F	7	57.14	42.86
7.36421	7	36421	R	8	0.00	100.00
7.30336	7	30336	R	9	44.44	55.56
7.14662	7	14662	R	8	62.50	37.50
7.13689	7	13689	F	15	80.00	20.00
7.38512	7	38512	R	16	93.75	6.25
7.62124	7	62124	R	6	16.67	83.33
7.39097	7	39097	F	5	80.00	20.00
7.14459	7	14459	R	9	33.33	66.67
7.14136	7	14136	R	7	71.43	28.57
7.36783	7	36783	R	6	16.67	83.33
7.15898	7	15898	F	13	15.38	84.62
7.14123	7	14123	R	7	57.14	42.86
7.16516	7	16516	F	14	0.00	100.00
7.57082	7	57082	F	7	85.71	14.29
7.45775	7	45775	R	16	93.75	6.25
7.30871	7	30871	R	8	0.00	100.00
7.58672	7	58672	R	11	100.00	0.00
7.55044	7	55044	F	8	75.00	25.00
7.21057	7	21057	R	17	88.24	11.76
7.17790	7	17790	R	14	85.71	14.29
7.47648	7	47648	R	7	85.71	14.29
7.47302	7	47302	F	7	85.71	14.29
7.27425	7	27425	R	13	84.62	15.38
7.59659	7	59659	R	34	88.24	11.76
7.62314	7	62314	R	8	0.00	100.00
7.16600	7	16600	F	8	0.00	100.00
7.11042	7	11042	F	22	72.73	27.27
7.14085	7	14085	F	10	70.00	30.00
7.13558	7	13558	F	13	38.46	61.54
7.36157	7	36157	F	6	0.00	100.00
7.26202	7	26202	R	6	100.00	0.00
7.14585	7	14585	F	14	57.14	42.86
7.18382	7	18382	R	10	80.00	20.00
7.37055	7	37055	R	5	0.00	100.00
7.48475	7	48475	R	12	41.67	58.33
7.41190	7	41190	R	8	50.00	50.00
7.60818	7	60818	R	10	70.00	30.00
7.16445	7	16445	R	11	18.18	81.82
7.14913	7	14913	F	5	20.00	80.00
7.60017	7	60017	R	15	86.67	13.33
7.20342	7	20342	R	6	100.00	0.00
7.60318	7	60318	R	5	100.00	0.00
7.15013	7	15013	R	6	16.67	83.33
7.37913	7	37913	R	15	0.00	100.00
7.47640	7	47640	R	8	62.50	37.50
7.52341	7	52341	F	13	69.23	30.77
7.13900	7	13900	R	7	71.43	28.57
7.61653	7	61653	R	8	100.00	0.00
7.16817	7	16817	F	7	0.00	100.00
7.31787	7	31787	F	6	66.67	33.33
7.16173	7	16173	R	6	16.67	83.33
7.36250	7	36250	F	6	0.00	100.00
7.20204	7	20204	F	9	100.00	0.00
7.43272	7	43272	R	25	84.00	16.00
7.52333	7	52333	R	15	40.00	60.00
7.55557	7	55557	R	8	87.50	12.50
7.17274	7	17274	R	19	100.00	0.00
7.30579	7	30579	R	8	0.00	100.00
7.21137	7	21137	F	5	100.00	0.00
7.62638	7	62638	R	6	0.00	100.00
7.31032	7	31032	R	10	10.00	90.00
7.28764	7	28764	F	7	71.43	28.57
7.15097	7	15097	R	6	0.00	100.00
7.51231	7	51231	R	23	47.83	52.17
7.13210	7	13210	F	7	28.57	71.43
7.13363	7	13363	R	9	66.67	33.33
7.33616	7	33616	R	16	87.50	12.50
7.37165	7	37165	F	6	0.00	100.00
7.37931	7	37931	R	13	53.85	46.15
7.16432	7	16432	F	10	20.00	80.00
7.11012	7	11012	F	23	60.87	39.13
7.14892	7	14892	R	7	42.86	57.14
7.15320	7	15320	F	6	33.33	66.67
7.13919	7	13919	R	6	66.67	33.33
7.15996	7	15996	F	8	12.50	87.50
7.15110	7	15110	R	7	57.14	42.86
7.36328	7	36328	R	5	0.00	100.00
7.15313	7	15313	F	6	50.00	50.00
7.48561	7	48561	R	7	42.86	57.14
7.13455	7	13455	F	15	40.00	60.00
7.14471	7	14471	F	7	71.43	28.57
7.20494	7	20494	R	6	50.00	50.00
7.16444	7	16444	F	9	33.33	66.67
7.15984	7	15984	F	6	0.00	100.00
7.16276	7	16276	F	15	6.67	93.33
7.31026	7	31026	R	9	0.00	100.00
7.47548	7	47548	R	6	33.33	66.67
7.21365	7	21365	R	16	81.25	18.75
7.13857	7	13857	R	7	57.14	42.86
7.62637	7	62637	F	7	0.00	100.00
7.14773	7	14773	F	7	71.43	28.57
7.14430	7	14430	F	8	25.00	75.00
7.13309	7	13309	R	11	72.73	27.27
7.14675	7	14675	R	7	42.86	57.14
7.35302	7	35302	F	10	40.00	60.00
7.37892	7	37892	R	12	0.00	100.00
7.16236	7	16236	F	11	18.18	81.82
7.14781	7	14781	F	7	71.43	28.57
7.34217	7	34217	F	5	20.00	80.00
7.40415	7	40415	R	13	92.31	7.69
7.16696	7	16696	F	8	12.50	87.50
7.54304	7	54304	F	5	60.00	40.00
7.13807	7	13807	R	8	50.00	50.00
7.42753	7	42753	R	7	100.00	0.00
7.16132	7	16132	R	6	0.00	100.00
7.36340	7	36340	R	5	0.00	100.00
7.14415	7	14415	F	10	70.00	30.00
7.60253	7	60253	R	6	100.00	0.00
7.13287	7	13287	F	5	40.00	60.00
7.16032	7	16032	F	10	0.00	100.00
7.62529	7	62529	R	6	0.00	100.00
7.16430	7	16430	F	10	30.00	70.00
7.31275	7	31275	R	10	50.00	50.00
7.33636	7	33636	R	16	81.25	18.75
7.21118	7	21118	R	13	100.00	0.00
7.58854	7	58854	R	9	100.00	0.00
7.13844	7	13844	R	9	22.22	77.78
7.13976	7	13976	R	5	40.00	60.00
7.62353	7	62353	R	8	0.00	100.00
7.55870	7	55870	F	6	66.67	33.33
7.16544	7	16544	F	11	27.27	72.73
7.49630	7	49630	R	5	20.00	80.00
7.13306	7	13306	F	5	20.00	80.00
7.36342	7	36342	R	5	0.00	100.00
7.16662	7	16662	R	5	0.00	100.00
7.16468	7	16468	R	10	40.00	60.00
7.48587	7	48587	R	7	85.71	14.29
7.13344	7	13344	R	9	33.33	66.67
7.15864	7	15864	F	11	18.18	81.82
7.23757	7	23757	R	8	75.00	25.00
7.61287	7	61287	R	14	100.00	0.00
7.20816	7	20816	R	15	60.00	40.00
7.16795	7	16795	F	9	22.22	77.78
7.14450	7	14450	R	8	37.50	62.50
7.15815	7	15815	R	5	20.00	80.00
7.16424	7	16424	F	8	37.50	62.50
7.37617	7	37617	R	8	37.50	62.50
7.37131	7	37131	F	5	0.00	100.00
7.58791	7	58791	R	15	80.00	20.00
7.30986	7	30986	R	5	0.00	100.00
7.22788	7	22788	R	11	54.55	45.45
7.16402	7	16402	F	7	28.57	71.43
7.15026	7	15026	R	5	40.00	60.00
7.47588	7	47588	F	5	60.00	40.00
7.38311	7	38311	R	12	58.33	41.67
7.56099	7	56099	F	9	44.44	55.56
7.42250	7	42250	F	10	50.00	50.00
7.40696	7	40696	R	10	90.00	10.00
