chr	strand	tss
7	-	4695
7	-	59273
7	+	82482
7	-	116425
7	+	135531
7	+	195700
7	-	274654
7	+	279455
7	+	284351
7	-	302486
7	+	331708
7	-	388006
7	+	447686
7	+	498896
7	-	611944
7	-	874858
7	+	1033234
7	+	1099279
7	-	1290809
7	-	1342313
7	-	1362150
7	-	1902480
7	-	1990166
7	-	2200431
7	-	2207177
7	+	2220524
7	+	2280810
7	+	2460244
7	+	2531064
7	+	2653627
7	-	2710824
7	-	2729321
7	-	2756780
7	-	2746489
7	-	2785749
7	+	2785930
7	-	3433912
7	-	3547854
7	-	3705938
7	-	3704109
7	+	3747109
7	+	4098343
7	-	4197932
7	-	4197884
7	-	4288793
7	+	4312646
7	-	4382817
7	-	4382616
7	-	4507821
7	+	4527554
7	-	4595864
7	-	4605946
7	-	4662295
7	+	4713816
7	-	4739842
7	-	4739842
7	-	4740447
7	+	4752831
7	-	4846775
7	-	4883039
7	-	4882998
7	+	5014359
7	+	5106115
7	-	5321453
7	+	5508762
7	+	5546056
7	+	5701702
7	-	5897491
7	-	5873724
7	+	5901676
7	+	5940930
7	+	6002322
7	+	6156611
7	-	6433001
7	-	6592902
7	+	6597661
7	+	6621680
7	+	6650612
7	-	6686568
7	+	6711551
7	+	6739939
7	+	6781274
7	+	6784474
7	-	6818978
7	+	6832281
7	+	6832281
7	-	6877820
7	-	6877820
7	+	6877908
7	+	6880141
7	+	6899882
7	-	6920391
7	+	6927326
7	+	7007749
7	-	7144912
7	+	7150313
7	+	7162357
7	-	7186628
7	+	7231043
7	+	7256354
7	+	7354788
7	-	7431231
7	-	7473634
7	+	7514674
7	+	7640533
7	-	7704115
7	-	7883898
7	+	9056254
7	-	9279054
7	-	9299762
7	-	9419687
7	-	9506981
7	-	9556861
7	-	9626849
7	-	9704044
7	+	9709227
7	-	9729711
7	+	9732777
7	+	9738919
7	-	9778093
7	-	9943072
7	+	9980583
7	-	10495774
7	-	10415938
7	+	10507984
7	-	10525940
7	+	10526032
7	+	10641656
7	-	10681694
7	+	10686080
7	+	10689083
7	+	10696198
7	+	10736836
7	+	10784862
7	-	10806251
7	-	10812929
7	+	10813176
7	-	10838258
7	-	10870844
7	+	10893771
7	+	10900361
7	+	10924385
7	+	10936137
7	+	10949123
7	-	10980326
7	+	10990622
7	-	11015090
7	-	11042872
7	-	11078669
7	+	11084221
7	-	11274844
7	+	11276549
7	+	11320599
7	+	11430528
7	-	11483775
7	+	11484824
7	+	11516429
7	+	11536104
7	-	11655865
7	+	11679316
7	-	11704137
7	+	11766883
7	-	11782914
7	-	11868058
7	-	11890636
7	+	11891291
7	+	11905256
7	+	11905256
7	-	11936413
7	-	12015748
7	-	12047108
7	-	12076665
7	+	12077169
7	+	12107101
7	-	12233520
7	-	12612881
7	-	12889458
7	-	12913364
7	-	12955241
7	+	13045741
7	-	13154191
7	-	13182609
7	+	13181938
7	-	13266973
7	+	13288817
7	-	13309416
7	+	13314358
7	-	13398476
7	+	13452385
7	-	13647794
7	-	13697980
7	+	13767734
7	-	13852740
7	-	14074118
7	+	14281313
7	+	14281620
7	+	14343682
7	+	14533688
7	+	14582883
7	+	14648300
7	+	14695977
7	-	14903030
7	+	14902995
7	-	14917988
7	-	14977668
7	-	15042794
7	+	15051870
7	-	15271809
7	+	15304546
7	-	15341998
7	-	15742887
7	-	15765488
7	-	15779976
7	-	15820406
7	-	15800275
7	-	15806437
7	-	15815924
7	-	15822513
7	-	15828537
7	+	15833129
7	+	15868345
7	+	16150149
7	+	16159461
7	+	16159474
7	+	16219611
7	+	16235275
7	+	16305300
7	+	16313906
7	+	16380664
7	-	16412287
7	+	16412437
7	-	16439295
7	+	16463674
7	+	16580306
7	-	16718444
7	-	16838026
7	-	16940702
7	+	17133499
7	+	17156217
7	-	17208239
7	-	17252865
7	-	17338619
7	-	17361534
7	-	17411970
7	+	17412087
7	-	17485000
7	-	17516252
7	-	17538308
7	+	17539023
7	+	17598997
7	-	17675340
7	-	17695850
7	-	17723499
7	-	17724925
7	-	17753992
7	-	17966292
7	-	18060443
7	+	18071082
7	-	18082768
7	-	18088611
7	+	18093729
7	-	18140425
7	+	18144867
7	-	18181640
7	-	18215224
7	+	18254209
7	-	18360929
7	+	18366761
7	-	18420438
7	+	18426550
7	-	18552421
7	+	18583602
7	-	18930989
7	+	19008759
7	+	19094498
7	+	19154460
7	+	19189885
7	-	19245814
7	-	19366026
7	-	19371849
7	+	19411316
7	+	19501055
7	+	19544324
7	+	19657871
7	+	20330959
7	+	20543411
7	+	20575083
7	+	20616148
7	+	20620293
7	+	20637422
7	-	20774184
7	-	20872724
7	-	20921590
7	-	20975797
7	+	21176600
7	+	21293508
7	+	21327981
7	+	21382006
7	-	21487516
7	-	21529546
7	+	21530018
7	+	21551919
7	-	21556682
7	+	21558495
7	-	21572579
7	+	21577092
7	-	21589518
7	+	21628477
7	-	21636638
7	-	21666114
7	+	21640186
7	-	21673766
7	+	21683470
7	-	21697267
7	+	21697266
7	+	21704678
7	-	21709879
7	+	21710108
7	-	21721635
7	+	21721773
7	+	21731260
7	-	21737808
7	-	21751280
7	+	21758725
7	+	21764324
7	+	21803719
7	+	21818450
7	+	21821607
7	+	21847995
7	+	21853455
7	-	21892913
7	-	21908596
7	+	21913412
7	-	21923725
7	-	21942633
7	-	21959693
7	+	21959845
7	-	21971129
7	+	21971542
7	-	21988531
7	-	21997765
7	+	22002216
7	-	22037890
7	-	22037892
7	-	22046096
7	-	22053574
7	-	22056268
7	-	22066787
7	+	22063035
7	+	22066971
7	-	22089594
7	-	22098817
7	+	22733555
7	-	22808688
7	-	22834140
7	-	22873570
7	+	22892061
7	-	23041754
7	-	23066402
7	+	23066891
7	+	23100890
7	+	23128082
7	+	23153215
7	+	23184010
7	+	23184122
7	-	23552998
7	-	24182349
7	+	24731579
7	+	24863711
7	+	24931014
7	-	24995117
7	+	25039352
7	+	25280815
7	-	25568408
7	-	25726495
7	-	25748190
7	+	25748554
7	-	25774582
7	-	25819426
7	+	25819786
7	+	25892439
7	-	25983250
7	+	25983768
7	-	26233120
7	+	26336031
7	+	26429422
7	-	26646791
7	-	26673051
7	-	26805324
7	-	26859021
7	-	26889311
7	+	27064565
7	+	27363365
7	-	27415070
7	-	27442038
7	-	27465873
7	-	27531707
7	-	27573807
7	-	27619142
7	+	27624760
7	-	27683122
7	+	27688524
7	-	27719636
7	-	27737634
7	-	27755563
7	-	27763903
7	+	27763968
7	-	27777290
7	+	27777769
7	-	27816492
7	-	27851899
7	+	27855541
7	-	27876426
7	-	27887633
7	+	27888090
7	-	27920392
7	-	27994222
7	+	28021767
7	-	28343536
7	+	28380249
7	-	28433434
7	-	28874290
7	-	29139972
7	+	29157969
7	+	29207877
7	-	29285815
7	-	29708299
7	+	29769774
7	-	29923932
7	+	29940678
7	+	29961182
7	-	29999593
7	+	30003368
7	-	30054671
7	+	30060587
7	+	30134926
7	-	30165520
7	-	30181239
7	-	30181239
7	-	30221767
7	-	30266354
7	+	30459507
7	+	30710686
7	+	30750466
7	+	30896072
7	-	30961286
7	-	30994929
7	-	31189244
7	-	31932431
7	+	32143918
7	+	32211979
7	-	32782028
7	-	32916777
7	+	34001588
7	-	34072973
7	+	34160695
7	+	34224211
7	+	34274371
7	+	34342481
7	+	34391457
7	-	34436920
7	-	34463935
7	-	34526274
7	-	34603042
7	-	34613177
7	+	34630769
7	+	34645144
7	-	34740616
7	-	34790024
7	-	34818291
7	-	34853140
7	-	34853140
7	-	34925235
7	+	34991281
7	-	35066094
7	-	35066127
7	+	35068292
7	+	35154667
7	+	35234890
7	-	35536596
7	+	35565240
7	+	35699646
7	-	35712432
7	-	35725457
7	-	35744854
7	-	35778048
7	+	35804359
7	-	35852384
7	+	35886563
7	+	35944238
7	+	35982772
7	-	36049713
7	-	36160945
7	+	36187551
7	+	36209704
7	+	25068118
7	+	27923856
7	+	1745720
7	-	4974504
7	+	5124026
7	+	5374403
7	-	5426908
7	-	5654666
7	-	7608553
7	+	11182131
7	+	12068537
7	+	13758808
7	+	15181596
7	-	18093339
7	-	18689996
7	+	18866621
7	+	19313790
