					methylKit		methylSig	
Chromosome	Start	Only in methylKit	Only in methylSig	Common methylKit methylSig	Methyl diff	Methylation state in Condition_A	Methyl diff	Methylation state in Condition_A
1	100173353	*	 	 	45.3453453453453	hypermeth		
1	103003637	*	 	 	35.426731078905	hypermeth		
1	103003648	*	 	 	32.5	hypermeth		
1	103003677	*	 	 	28.3333333333333	hypermeth		
1	103003685	*	 	 	30	hypermeth		
1	103057777	*	 	 	56.0141509433962	hypermeth		
1	103057788	*	 	 	67.5314465408805	hypermeth		
1	103845950	*	 	 	48	hypermeth		
1	103877696	*	 	 	27.5528169014084	hypermeth		
1	103877712	*	 	 	33.8615023474178	hypermeth		
1	103877732	*	 	 	28.3450704225352	hypermeth		
1	103877747	*	 	 	32.6877934272301	hypermeth		
1	103877822	*	 	 	36.2893081761006	hypermeth		
1	104043079	*	 	 	25.4504504504505	hypermeth		
1	104043143	*	 	 	30.6683480453972	hypermeth		
1	104043146	*	 	 	26.0529634300126	hypermeth		
1	104146646	*	 	 	84.2962962962963	hypermeth		
1	104146659	*	 	 	80.5925925925926	hypermeth		
1	104146677	*	 	 	65.4814814814815	hypermeth		
1	104146698	*	 	 	96	hypermeth		
1	104146739	*	 	 	84.3076923076923	hypermeth		
1	104146743	*	 	 	72.6153846153846	hypermeth		
1	104146758	*	 	 	77.1851851851852	hypermeth		
1	104146767	*	 	 	88.5925925925926	hypermeth		
1	104146784	*	 	 	84.8888888888889	hypermeth		
1	104146791	*	 	 	55.5555555555556	hypermeth		
1	104146800	*	 	 	88.2962962962963	hypermeth		
1	104146803	 	 	*	100	hypermeth	100.0	hypermeth
1	104271966	*	 	 	35.4871794871795	hypermeth		
1	104576531	*	 	 	26.9956458635704	hypermeth		
1	105020522	*	 	 	66.4285714285714	hypermeth		
1	105020559	*	 	 	49.047619047619	hypermeth		
1	10520299	*	 	 	-95.4545454545455	hypometh		
1	108085926	*	 	 	28.2608695652174	hypermeth		
1	108237337	*	 	 	61.9047619047619	hypermeth		
1	108377225	*	 	 	-50	hypometh		
1	108377239	 	 	*	-100	hypometh	-100.0	hypometh
1	108377253	*	 	 	-80	hypometh		
1	109543375	*	 	 	-43.7630371297455	hypometh		
1	109647404	*	 	 	-70.9677419354839	hypometh		
1	110108441	*	 	 	46.3414634146341	hypermeth		
1	110279584	*	 	 	25.6410256410256	hypermeth		
1	110281161	*	 	 	29.3103448275862	hypermeth		
1	110288508	*	 	 	42.965367965368	hypermeth		
1	110288519	*	 	 	26.2987012987013	hypermeth		
1	110487370	*	 	 	27.3042273042273	hypermeth		
1	110672354	*	 	 	67.0512820512821	hypermeth		
1	110672383	*	 	 	36.7948717948718	hypermeth		
1	110672390	*	 	 	48.8461538461538	hypermeth		
1	110672436	*	 	 	73.8095238095238	hypermeth		
1	11084196	*	 	 	-30.7692307692308	hypometh		
1	110941149	*	 	 	29.9283154121864	hypermeth		
1	110982801	*	 	 	75.4208754208754	hypermeth		
1	110982886	*	 	 	84.2857142857143	hypermeth		
1	110982902	*	 	 	76.0942760942761	hypermeth		
1	110982942	*	 	 	82.921511627907	hypermeth		
1	110982987	*	 	 	85.2150537634409	hypermeth		
1	110982992	*	 	 	88.2352941176471	hypermeth		
1	110983011	*	 	 	88.4408602150538	hypermeth		
1	110983022	*	 	 	82.8853046594982	hypermeth		
1	111347922	*	 	 	-30	hypometh		
1	111348038	*	 	 	-62.8205128205128	hypometh		
1	111349332	*	 	 	-81.8181818181818	hypometh		
1	111349337	*	 	 	-81.8181818181818	hypometh		
1	111349342	*	 	 	-81.3186813186813	hypometh		
1	111349433	*	 	 	-61.5384615384615	hypometh		
1	111349464	*	 	 	-68.1818181818182	hypometh		
1	111349518	*	 	 	-68.9536878216124	hypometh		
1	111349605	*	 	 	-30.7692307692308	hypometh		
1	111353801	*	 	 	-85.7142857142857	hypometh		
1	111353959	*	 	 	-41.1764705882353	hypometh		
1	111362546	*	 	 	62.3280423280423	hypermeth		
1	111362554	*	 	 	72.5925925925926	hypermeth		
1	111362565	*	 	 	76.2962962962963	hypermeth		
1	111362572	*	 	 	64.6153846153846	hypermeth		
1	111362588	*	 	 	75.1648351648352	hypermeth		
1	111362600	*	 	 	80	hypermeth		
1	111362626	*	 	 	82.8571428571429	hypermeth		
