Chromosome	DMR start	DMR end	DMR length	Methylation state for Condition_A	List of DMCs	Number of DMCs
1	1291148	1291284	136	hypometh	1291148,1291218,1291284	3
1	1787140	1787260	120	hypometh	1787140,1787236,1787260	3
1	2343120	2343174	54	hypermeth	2343120,2343139,2343150,2343174	4
1	3721799	3721843	44	hypermeth	3721799,3721825,3721843	3
1	6173975	6174165	190	hypermeth	6173975,6174008,6174028,6174053,6174062,6174098,6174114,6174117,6174128,6174165	10
1	9195701	9195751	50	hypometh	9195701,9195743,9195751	3
1	21094728	21094775	47	hypermeth	21094728,21094731,21094775	3
1	22412156	22412298	142	hypermeth	22412156,22412244,22412298	3
1	33691478	33691534	56	hypermeth	33691478,33691499,33691534	3
1	37691029	37691182	153	hypermeth	37691029,37691040,37691045,37691050,37691059,37691063,37691081,37691085,37691092,37691109,37691182	11
1	41699167	41699182	15	hypermeth	41699167,41699170,41699182	3
1	43647948	43648003	55	hypermeth	43647948,43647954,43647964,43647992,43647998,43648003	6
1	56720274	56720362	88	hypometh	56720274,56720284,56720289,56720321,56720351,56720362	6
1	57853046	57853230	184	hypermeth	57853046,57853127,57853136,57853163,57853200,57853230	6
1	59432589	59432682	93	hypermeth	59432589,59432675,59432682	3
1	59433020	59433044	24	hypermeth	59433020,59433034,59433044	3
1	73105044	73105230	186	hypermeth	73105044,73105066,73105107,73105202,73105213,73105230	6
1	73840388	73840526	138	hypermeth	73840388,73840436,73840439,73840456,73840483,73840488,73840515,73840526	8
1	73840627	73840636	9	hypermeth	73840627,73840632,73840636	3
1	73871357	73871487	130	hypometh	73871357,73871371,73871403,73871435,73871443,73871462,73871487	7
1	80225400	80225415	15	hypermeth	80225400,80225405,80225415	3
1	83687987	83688025	38	hypermeth	83687987,83688019,83688022,83688025	4
1	98346473	98346652	179	hypermeth	98346473,98346530,98346544,98346551,98346579,98346600,98346652	7
1	98641938	98642086	148	hypermeth	98641938,98641978,98642001,98642086	4
1	111630197	111630280	83	hypermeth	111630197,111630200,111630218,111630271,111630280	5
1	117253875	117253936	61	hypermeth	117253875,117253892,117253917,117253936	4
