Chromosome	Position	Coverage	# methylated	% methylated	# overlap	Gene ID	Distance from target	Gene feature	Associated Gene Name	Description	Chromosome Name	Gene Start (bp)	Gene End (bp)	Strand	# overlap	Repeats region	Type	# overlap	CpG islands region	Interval shift	Type
1	180179	18	0	0	1	ENSBTAG00000001753	+466			Chloride intracellular channel protein  [Source:UniProtKB/TrEMBL;Acc:E1BAI4]	1	124849	179713	-1				1	1:178297-180180	island	CpG:
1	733760	13	0	0	1	ENSBTAG00000012594	0	tss	MRPS6	Bos taurus mitochondrial ribosomal protein S6 (MRPS6), mRNA. [Source:RefSeq mRNA;Acc:NM_001040584]	1	669920	733729	-1				1	1:733575-734527	island	CpG:
1	733760	13	0	0	2	ENSBTAG00000012594	0	promoter	MRPS6	Bos taurus mitochondrial ribosomal protein S6 (MRPS6), mRNA. [Source:RefSeq mRNA;Acc:NM_001040584]	1	669920	733729	-1				1	1:733575-734527	island	CpG:
1	1291176	35	35	100	1	ENSBTAG00000009188	0	intron	GART	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase [Source:HGNC Symbol;Acc:HGNC:4163]	1	1265743	1292028	1							
1	1712072	41	5	12.1																	
1	2029698	10	3	30	1	ENSBTAG00000043993	0	promoter	C21orf62	chromosome 21 open reading frame 62 [Source:HGNC Symbol;Acc:HGNC:1305]	1	2029406	2048813	1							
1	2029698	10	3	30	2	ENSBTAG00000043993	0	utr5	C21orf62	chromosome 21 open reading frame 62 [Source:HGNC Symbol;Acc:HGNC:1305]	1	2029406	2048813	1							
1	2108466	50	0	0	1	ENSBTAG00000003063	-752		SYNJ1	synaptojanin 1 [Source:HGNC Symbol;Acc:HGNC:11503]	1	2109219	2196114	1				1	1:2107600-2108663	island	CpG:
1	2205003	26	0	0	1	ENSBTAG00000003059	0	promoter		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F1MC22]	1	2204895	2216515	1				1	1:2204145-2205475	island	CpG:
1	2205003	26	0	0	2	ENSBTAG00000003059	0	utr5		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F1MC22]	1	2204895	2216515	1				1	1:2204145-2205475	island	CpG:
1	2206311	39	22	56.4	1	ENSBTAG00000003059	0	promoter		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F1MC22]	1	2204895	2216515	1	1	1:2206270-2206362	SINE	1	1:2204145-2205475	shore	CpG:
