Position	A1	A2	B1	B2
1:147039387	80	96	50	44.4
1:42531156	0	0	0	0
1:5244009	90	100	48.3	45.2
1:154220068	60	95.6	0	3.3
1:98140519	0	0	0	0
1:73516240	0	4.5	0	0
1:154139903	100	100	100	100
1:132075284	0	0	0	0
1:145597269	95.4	100	88.8	90.9
1:121868741	0	4.3	0	0
1:135656445	6.2	14.2	0	0
1:242553	0	0	0	0
1:157176737	0	0	0	4.5
1:57459938	92.6	87	9	7.1
1:5247893	92.6	92.8	31.5	27.5
1:130108845	0	0	0	0
1:80187243	0	0	0	0
1:151153242	92.8	100	88.8	100
1:145807400	94.1	100	94.7	95
1:131352233	0	0	0	0
1:42531081	0	0	0	0
1:41699167	100	94.7	0	2.7
1:2919360	0	0	7.1	10
1:133395633	0	0	0	0
1:128085583	0	9.5	0	0
1:9195743	0	6.6	100	92.8
1:85934389	0	0	0	0
1:68600195	90	90.9	100	86.6
1:141230862	0	4	0	0
1:110289550	0	0	0	0
1:147357222	100	100	100	100
1:85951547	5.2	0	0	0
1:155061397	96	95.6	31.5	2.7
1:146023614	100	100	100	100
1:98141300	0	0	0	0
1:72607802	0	0	0	0
1:147718551	100	93.3	100	91.6
1:146831858	100	100	100	100
1:79783770	0	0	0	0
1:44847962	64	80.9	100	95.2
1:5279023	71	69.1	3.6	11.7
1:124951506	94.4	92.8	70	92.8
1:811464	27.2	14.2	53.8	100
1:73866513	60	52.6	100	97
1:83500821	0	2.7	0	0
1:145747525	100	100	100	100
1:115479899	0	0	4.3	0
1:68400243	88.2	95.5	100	97
1:71286823	0	0	0	0
1:146946762	0	0	0	0
1:1407310	0	0	0	0
1:144125913	45	44.7	4	7
1:132449846	63.1	40.9	0	0
1:71210834	94.4	100	93.3	100
1:131252035	5.5	4.5	0	0
1:142958707	38.4	18.1	20	26.6
1:56308595	0	0	0	0
1:145432686	76.4	89.1	22.9	18.6
1:129041670	0	0	0	0
1:3257395	0	0	0	0
1:118657040	0	0	0	0
1:150577909	91.6	95	100	100
1:137902584	0	0	0	0
1:131149497	93.7	90	7.1	0
1:147570682	100	100	95.2	100
1:478918	0	0	0	0
1:158282858	100	89.4	100	95.4
1:146866528	94.4	96.7	91.8	100
1:9043073	95.4	95.8	92.8	84.8
1:131277194	0	0	0	0
1:150670668	72.7	51.4	4	0
1:155010229	0	0	0	0
1:114432280	0	0	0	0
1:144845410	0	0	0	0
1:145151690	0	2.7	0	0
1:128901299	92.3	92.8	0	0
1:72561320	0	3.4	12	2.6
1:68864600	0	0	0	0
1:147736941	0	0	0	0
1:118225203	100	100	100	100
1:68012942	0	0	0	0
1:83244301	0	0	0	0
1:2108397	0	0	0	0
1:44331948	0	0	4.7	0
1:145636554	93.3	86.3	100	96.1
1:70664452	0	0	0	0
1:146650932	0	0	0	0
1:82997439	0	0	0	0
1:80179339	0	0	0	5.5
1:1738982	100	100	100	93.5
1:145770178	0	0	0	0
1:96788133	0	0	0	0
1:157268207	0	0	0	0
1:131351458	0	0	0	0
1:74431371	100	100	94.1	100
1:149825049	88.8	100	93.1	92.3
1:2439380	100	100	95.8	100
1:155801905	93.7	93.9	0	4
1:46464407	0	0	0	0
1:148773554	0	6.4	0	0
1:150943977	0	0	0	0
1:147040903	80	93.7	100	100
1:131772664	100	89.6	100	100
1:155112617	100	100	94.4	95.8
1:136435711	0	6.2	0	0
1:74467493	0	0	0	0
1:146947115	0	0	0	3.5
1:146990570	95.2	100	96.9	100
1:103845946	100	85.7	80	57.1
1:83443143	0	0	0	0
1:130852674	94.1	100	95	100
1:96455037	0	0	0	0
1:112644709	100	96.1	95.4	100
1:148777172	0	0	0	2.7
1:127591893	0	0	0	0
1:147422275	100	100	100	94.1
1:154221362	100	80	94.7	90.4
1:119290098	0	0	0	0
1:71516479	0	0	0	0
1:44846117	100	95.4	100	100
1:2917656	0	0	0	3.3
1:143120384	0	0	0	0
1:57786674	0	0	0	0
1:2305737	100	100	100	100
1:8812528	10.5	8	3.1	0
1:1822502	4.7	0	0	0
1:44842273	100	95.4	100	100
1:134505049	100	85.7	53.8	50
1:141013165	0	0	0	0
1:152962339	80	80	100	100
1:401136	0	0	0	0
1:52432895	0	5.8	0	0
1:121879787	11.7	7.1	0	0
1:144105161	80.8	83.2	13.9	12
1:148078113	88.8	89.2	95.4	100
1:120130161	0	0	0	0
1:145178617	84.6	76.9	100	100
1:144766733	100	100	94.7	96.4
1:157171126	81.8	90.9	0	3.2
1:107928116	0	0	0	0
1:150652421	100	100	100	100
1:108086206	0	0	2.9	0
1:8812067	0	0	0	0
1:146273284	90.9	100	91.6	95
1:147058197	88.2	86.6	0	0
1:130653797	0	6.6	0	5.8
1:5236197	88.2	85.7	10.7	8.9
1:2360416	0	0	0	0
1:131834010	0	8.3	0	0
1:102996069	0	0	0	0
1:148678863	100	93.3	0	0
1:64487654	0	0	0	0
1:71611372	0	0	0	0
1:155010111	0	0	0	0
1:126568218	90	100	100	100
1:147856420	0	0	0	0
1:118319596	90.9	93.7	100	100
1:73470815	0	0	0	0
1:71247599	0	4.7	0	0
1:59387513	96	95.4	42.1	29.6
1:146436767	0	0	0	0
1:65648740	0	0	3.8	0
1:83521499	0	0	0	0
1:59420383	95.8	88.8	27.7	9.6
1:19630089	84.6	90.9	84.6	80
1:143990272	0	0	0	0
1:139156044	0	7.1	0	0
1:144055837	90	100	100	100
1:150029134	100	100	4.1	8.5
1:130108538	0	4.1	3.5	0
1:82573361	90.9	100	0	3.1
1:126874496	0	0	0	0
1:88389918	0	0	0	6.6
1:56308802	0	0	0	0
1:152859760	96.1	100	96.4	100
1:71965675	0	0	0	0
1:83244595	0	0	0	0
1:120013329	20	35	0	0
1:136573832	0	0	0	0
1:147315570	85.7	90.4	95	80
1:144127921	93.1	94.8	50	37.2
1:146437153	0	0	0	0
1:37867048	0	3.3	0	0
1:141349694	100	90	8.3	0
1:144113757	89	91.4	31.2	23.5
1:145288193	100	95.8	100	100
1:82210301	0	0	0	0
1:88075146	0	0	0	0
1:144112237	44.6	40.2	11.4	1.3
1:103304413	75	85	85	72.2
1:155406149	90	81.8	0	0
1:83450310	100	100	100	100
1:144329660	100	100	100	100
1:53753884	0	0	0	0
1:129041818	0	0	3.3	0
1:9242888	3.7	2.7	0	0
1:152890086	100	100	48.1	100
1:135656902	0	3.5	0	0
1:144832699	100	100	94.1	100
